#,Name,Team,MonthSeason,MonthYear
343,Andrew Kittredge,TBR,4,6/1/2022
348,Yohan Ramirez,CLE,4,6/1/2022
349,Denyi Reyes,BAL,4,6/1/2022
351,Jake McGee,SFG,4,6/1/2022
369,Eric Stout,CHC,4,6/1/2022
397,Vladimir Gutierrez,CIN,4,6/1/2022
424,Miguel Sanchez,MIL,4,6/1/2022
445,Hyun-Jin Ryu,TOR,4,6/1/2022
448,Nick Wittgren,STL,4,6/1/2022
450,Ian Hamilton,MIN,4,6/1/2022
451,Kodi Whitley,STL,4,6/1/2022
457,Jesus Cruz,ATL,4,6/1/2022
461,Chi Chi Gonzalez,- - -,4,6/1/2022
475,Arodys Vizcaino,KCR,4,6/1/2022
478,Anthony DeSclafani,SFG,4,6/1/2022
479,Jhonathan Diaz,LAA,4,6/1/2022
484,Matt Peacock,KCR,4,6/1/2022
485,Anthony Banda,PIT,4,6/1/2022
490,Tucker Barnhart,DET,4,6/1/2022
491,Paul Fry,ARI,4,6/1/2022
492,James Norwood,PHI,4,6/1/2022
504,Ryan Weathers,SDP,4,6/1/2022
510,Caleb Kilian,CHC,4,6/1/2022
515,Francisco Perez,WSN,4,6/1/2022
517,Jacob Barnes,DET,4,6/1/2022
518,Jose Alvarez,SFG,4,6/1/2022
519,Foster Griffin,KCR,4,6/1/2022
520,Andrew Vasquez,TOR,4,6/1/2022
521,Luke Barker,MIL,4,6/1/2022
523,Walker Buehler,LAD,4,6/1/2022
525,Tony Santillan,CIN,4,6/1/2022
533,Stephen Strasburg,WSN,4,6/1/2022
540,Bennett Sousa,CHW,4,6/1/2022
545,Sergio Romo,SEA,4,6/1/2022
547,Frank Schwindel,CHC,4,6/1/2022
548,Mike Ford,ATL,4,6/1/2022
549,Shaun Anderson,TOR,4,6/1/2022
552,Josh Rogers,WSN,4,6/1/2022
554,Louis Head,MIA,4,6/1/2022
557,Jerad Eickhoff,PIT,4,6/1/2022
559,Donovan Walton,SFG,4,6/1/2022
564,Diego Castillo,PIT,4,6/1/2022
566,Max Schrock,CIN,4,6/1/2022
567,Jake Reed,NYM,4,6/1/2022
568,Ronald Bolanos,KCR,4,6/1/2022
1,Matt Bush,TEX,5,7/1/2022
3,Sandy Leon,CLE,5,7/1/2022
10,Juan Minaya,MIN,5,7/1/2022
11,Mychal Givens,CHC,5,7/1/2022
12,Chasen Shreve,NYM,5,7/1/2022
17,Ken Giles,SEA,5,7/1/2022
18,Derek Law,DET,5,7/1/2022
19,Alec Mills,CHC,5,7/1/2022
21,Brett Phillips,TBR,5,7/1/2022
28,Phillips Valdez,BOS,5,7/1/2022
29,Willians Astudillo,MIA,5,7/1/2022
41,Alex Young,CLE,5,7/1/2022
44,Brian Serven,COL,5,7/1/2022
45,Tanner Tully,CLE,5,7/1/2022
50,Mike Brosseau,MIL,5,7/1/2022
51,Drew Carlton,DET,5,7/1/2022
58,Enoli Paredes,HOU,5,7/1/2022
60,Nick Duron,PHI,5,7/1/2022
61,Parker Mushinski,HOU,5,7/1/2022
66,Aaron Fletcher,PIT,5,7/1/2022
67,Colin Holderman,NYM,5,7/1/2022
69,Jared Solomon,CIN,5,7/1/2022
70,Tommy Romero,TBR,5,7/1/2022
73,Anthony Bass,MIA,5,7/1/2022
103,Luke Weaver,ARI,5,7/1/2022
128,Angel Zerpa,KCR,5,7/1/2022
140,Jeremy Beasley,TOR,5,7/1/2022
145,Matt Swarmer,CHC,5,7/1/2022
149,Luis Castillo,CIN,5,7/1/2022
151,Jake Reed,- - -,5,7/1/2022
153,Michael King,NYY,5,7/1/2022
178,Scott Effross,CHC,5,7/1/2022
179,Darren O'Day,ATL,5,7/1/2022
188,Jandel Gustave,MIL,5,7/1/2022
214,Michael Feliz,BOS,5,7/1/2022
226,Max Castillo,TOR,5,7/1/2022
232,Beau Brieske,DET,5,7/1/2022
233,Tyler Gilbert,ARI,5,7/1/2022
236,Frankie Montas,OAK,5,7/1/2022
248,Johan Oviedo,STL,5,7/1/2022
253,David Robertson,CHC,5,7/1/2022
255,Chris Sale,BOS,5,7/1/2022
266,Zach Pop,MIA,5,7/1/2022
268,Mitch White,LAD,5,7/1/2022
269,Luke Bard,TBR,5,7/1/2022
273,Matt Gage,TOR,5,7/1/2022
274,Jordan Holloway,MIA,5,7/1/2022
275,Daniel Norris,CHC,5,7/1/2022
289,Nick Neidert,MIA,5,7/1/2022
296,Jose Quintana,PIT,5,7/1/2022
297,Noah Syndergaard,LAA,5,7/1/2022
302,Tyler Mahle,CIN,5,7/1/2022
314,Robert Stephenson,COL,5,7/1/2022
320,Mauricio Llovera,SFG,5,7/1/2022
323,Anthony Castro,CLE,5,7/1/2022
331,Anthony Banda,TOR,5,7/1/2022
333,Chris Stratton,PIT,5,7/1/2022
341,Jake Odorizzi,HOU,5,7/1/2022
344,Michael Kelly,PHI,5,7/1/2022
346,Harold Castro,DET,5,7/1/2022
370,Jorge Lopez,BAL,5,7/1/2022
375,JP Sears,NYY,5,7/1/2022
379,Elvis Peguero,LAA,5,7/1/2022
381,Jordan Montgomery,NYY,5,7/1/2022
385,Sergio Romo,TOR,5,7/1/2022
392,Lou Trivino,OAK,5,7/1/2022
394,Michael Fulmer,DET,5,7/1/2022
403,Tanner Rainey,WSN,5,7/1/2022
408,Chi Chi Gonzalez,MIL,5,7/1/2022
410,Raisel Iglesias,LAA,5,7/1/2022
414,Jeff Hoffman,CIN,5,7/1/2022
415,Corbin Martin,ARI,5,7/1/2022
416,Chris Martin,CHC,5,7/1/2022
417,Joel Payamps,KCR,5,7/1/2022
425,Phoenix Sanders,TBR,5,7/1/2022
439,Kyle Hendricks,CHC,5,7/1/2022
446,Daniel Castano,MIA,5,7/1/2022
454,Junior Fernandez,STL,5,7/1/2022
457,Jake Diekman,BOS,5,7/1/2022
467,Rony Garcia,DET,5,7/1/2022
480,Ethan Small,MIL,5,7/1/2022
483,Max Meyer,MIA,5,7/1/2022
497,Shane Baz,TBR,5,7/1/2022
501,Michael A. Taylor,KCR,5,7/1/2022
502,Yolmer Sanchez,BOS,5,7/1/2022
503,Jackie Bradley Jr.,BOS,5,7/1/2022
504,Connor Sadzeck,MIL,5,7/1/2022
509,Jackson Tetreault,WSN,5,7/1/2022
510,Gregory Santos,SFG,5,7/1/2022
512,Joan Adon,WSN,5,7/1/2022
513,Yennier Cano,MIN,5,7/1/2022
514,Will Smith,ATL,5,7/1/2022
515,Dinelson Lamet,SDP,5,7/1/2022
518,Taylor Rogers,SDP,5,7/1/2022
520,Tommy Milone,SEA,5,7/1/2022
522,Jeurys Familia,PHI,5,7/1/2022
524,David McKay,- - -,5,7/1/2022
526,Austin Warren,LAA,5,7/1/2022
528,Jackson Kowar,KCR,5,7/1/2022
530,Dallas Keuchel,ARI,5,7/1/2022
531,Chase Silseth,LAA,5,7/1/2022
534,Alcides Escobar,WSN,5,7/1/2022
535,Drew VerHagen,STL,5,7/1/2022
536,MacKenzie Gore,SDP,5,7/1/2022
542,Alex Faedo,DET,5,7/1/2022
546,Reyes Moronta,LAD,5,7/1/2022
547,Josh Hader,MIL,5,7/1/2022
549,JoJo Romero,PHI,5,7/1/2022
553,Jimmy Yacabonis,MIA,5,7/1/2022
556,Shane Greene,NYY,5,7/1/2022
558,Bubby Rossman,PHI,5,7/1/2022
559,Ernie Clement,CLE,5,7/1/2022
563,Thomas Hatch,TOR,5,7/1/2022
566,Garrett Cleavinger,LAD,5,7/1/2022
567,Hansel Robles,BOS,5,7/1/2022
568,Cody Poteet,MIA,5,7/1/2022
570,Josh VanMeter,PIT,5,7/1/2022
571,J.B. Wendelken,ARI,5,7/1/2022
573,Anthony Gose,CLE,5,7/1/2022
574,Ray Kerr,SDP,5,7/1/2022
1,Joe Smith,MIN,6,8/1/2022
2,Jay Jackson,ATL,6,8/1/2022
3,Darin Ruf,NYM,6,8/1/2022
7,Phil Gosselin,LAA,6,8/1/2022
10,Jharel Cotton,MIN,6,8/1/2022
12,Luke Bard,NYY,6,8/1/2022
13,Franmil Reyes,CHC,6,8/1/2022
18,Reese McGuire,BOS,6,8/1/2022
19,Jake Reed,LAD,6,8/1/2022
20,Sam Clay,NYM,6,8/1/2022
21,Pablo Reyes,MIL,6,8/1/2022
29,Ralph Garza,TBR,6,8/1/2022
33,Danny Young,ATL,6,8/1/2022
35,Dillon Peters,PIT,6,8/1/2022
36,Andrew Knizner,STL,6,8/1/2022
39,Jordan Sheffield,COL,6,8/1/2022
40,Darick Hall,PHI,6,8/1/2022
41,Anthony Bender,MIA,6,8/1/2022
42,Tanner Houck,BOS,6,8/1/2022
45,Michel Baez,SDP,6,8/1/2022
47,Matt Batten,SDP,6,8/1/2022
56,Aneurys Zabala,MIA,6,8/1/2022
57,Oliver Ortega,LAA,6,8/1/2022
63,Tarik Skubal,DET,6,8/1/2022
70,Freddy Tarnok,ATL,6,8/1/2022
72,Nate Fisher,NYM,6,8/1/2022
97,Joel Payamps,- - -,6,8/1/2022
100,Dany Jimenez,OAK,6,8/1/2022
103,Justin Steele,CHC,6,8/1/2022
110,Devin Smeltzer,MIN,6,8/1/2022
146,Louis Head,BAL,6,8/1/2022
176,Derek Law,- - -,6,8/1/2022
240,Austin Brice,PIT,6,8/1/2022
282,Zach Jackson,OAK,6,8/1/2022
303,Reyes Moronta,- - -,6,8/1/2022
305,Ryan Thompson,TBR,6,8/1/2022
343,Gerardo Reyes,LAA,6,8/1/2022
344,Brennan Bernardino,SEA,6,8/1/2022
347,Sammy Long,SFG,6,8/1/2022
363,Hirokazu Sawamura,BOS,6,8/1/2022
369,Michael Fulmer,- - -,6,8/1/2022
382,Josh Sborz,TEX,6,8/1/2022
384,Cam Vieaux,PIT,6,8/1/2022
387,Garrett Richards,TEX,6,8/1/2022
388,Luke Farrell,CHC,6,8/1/2022
393,Ian Anderson,ATL,6,8/1/2022
401,Ross Detwiler,CIN,6,8/1/2022
408,Wily Peralta,DET,6,8/1/2022
415,Nicholas Padilla,CHC,6,8/1/2022
417,Tyler Holton,ARI,6,8/1/2022
427,Jake McGee,- - -,6,8/1/2022
429,Antonio Senzatela,COL,6,8/1/2022
448,Noe Ramirez,ARI,6,8/1/2022
453,Tayler Scott,SDP,6,8/1/2022
454,Colin Holderman,PIT,6,8/1/2022
455,T.J. McFarland,STL,6,8/1/2022
456,Mark Appel,PHI,6,8/1/2022
458,Lucas Gilbreath,COL,6,8/1/2022
470,Paul Blackburn,OAK,6,8/1/2022
476,Kutter Crawford,BOS,6,8/1/2022
477,Kervin Castro,CHC,6,8/1/2022
478,Jesse Chavez,LAA,6,8/1/2022
486,Steven Brault,CHC,6,8/1/2022
487,Anderson Espinoza,CHC,6,8/1/2022
488,Chris Devenski,ARI,6,8/1/2022
489,Alex Wood,SFG,6,8/1/2022
494,Rob Zastryzny,NYM,6,8/1/2022
495,Austin Wynns,SFG,6,8/1/2022
496,Jose Castillo,SDP,6,8/1/2022
497,Ryan Hendrix,CIN,6,8/1/2022
501,Robert Stephenson,- - -,6,8/1/2022
507,Tyler Duffey,MIN,6,8/1/2022
511,Edwin Uceta,ARI,6,8/1/2022
513,Austin Davis,BOS,6,8/1/2022
515,A.J. Ladwig,MIA,6,8/1/2022
519,Robert Dugger,CIN,6,8/1/2022
522,R.J. Alvarez,NYM,6,8/1/2022
525,Tyler Clippard,WSN,6,8/1/2022
527,Genesis Cabrera,STL,6,8/1/2022
528,Yu Chang,TBR,6,8/1/2022
529,Spencer Howard,TEX,6,8/1/2022
533,Cade Cavalli,WSN,6,8/1/2022
534,Corey Knebel,PHI,6,8/1/2022
535,Ryan Borucki,SEA,6,8/1/2022
536,T.J. Zeuch,CIN,6,8/1/2022
537,Jose Butto,NYM,6,8/1/2022
538,Yerry De Los Santos,PIT,6,8/1/2022
539,Josh Staumont,KCR,6,8/1/2022
540,Whit Merrifield,TOR,6,8/1/2022
541,Matt Dermody,CHC,6,8/1/2022
542,Hunter Dozier,KCR,6,8/1/2022
543,Nicky Lopez,KCR,6,8/1/2022
544,Francisco Morales,PHI,6,8/1/2022
550,Janson Junk,LAA,6,8/1/2022
551,Victor Caratini,MIL,6,8/1/2022
556,Yoan Lopez,NYM,6,8/1/2022
558,Tyler Cyr,PHI,6,8/1/2022
559,Darwinzon Hernandez,BOS,6,8/1/2022
561,Josh Harrison,CHW,6,8/1/2022
562,Brendon Little,CHC,6,8/1/2022
1,Jhoulys Chacin,COL,7,9/1/2022
2,David Price,LAD,7,9/1/2022
3,Charlie Culberson,TEX,7,9/1/2022
4,Marwin Gonzalez,NYY,7,9/1/2022
5,Daniel Bard,COL,7,9/1/2022
6,Kirby Yates,ATL,7,9/1/2022
7,Ryan Weber,NYY,7,9/1/2022
8,Mychal Givens,NYM,7,9/1/2022
9,Corey Dickerson,STL,7,9/1/2022
10,Jacob Barnes,NYY,7,9/1/2022
11,Jace Peterson,MIL,7,9/1/2022
12,Blake Treinen,LAD,7,9/1/2022
13,Matt Wisler,TBR,7,9/1/2022
14,Matt Barnes,BOS,7,9/1/2022
15,Alex Claudio,NYM,7,9/1/2022
16,Orlando Arcia,ATL,7,9/1/2022
17,Ildemaro Vargas,WSN,7,9/1/2022
18,Dereck Rodriguez,MIN,7,9/1/2022
19,Andres Machado,WSN,7,9/1/2022
20,Scott Barlow,KCR,7,9/1/2022
21,Yency Almonte,LAD,7,9/1/2022
22,Tyler Rogers,SFG,7,9/1/2022
23,Luis Torrens,SEA,7,9/1/2022
24,Victor Arano,WSN,7,9/1/2022
25,Yonny Chirinos,TBR,7,9/1/2022
26,Foster Griffin,TOR,7,9/1/2022
27,Vinny Nittoli,PHI,7,9/1/2022
28,Reed Garrett,WSN,7,9/1/2022
29,Touki Toussaint,LAA,7,9/1/2022
30,Raisel Iglesias,ATL,7,9/1/2022
31,Javy Guerra,TBR,7,9/1/2022
32,Albert Abreu,NYY,7,9/1/2022
33,Jose Alvarado,PHI,7,9/1/2022
34,Trent Thornton,TOR,7,9/1/2022
35,Pete Fairbanks,TBR,7,9/1/2022
36,Jermaine Palacios,MIN,7,9/1/2022
37,Scott Effross,NYY,7,9/1/2022
38,Junior Fernandez,PIT,7,9/1/2022
39,Sam Hentges,CLE,7,9/1/2022
40,Kyle Dowdy,CIN,7,9/1/2022
41,Andrew Vasquez,SFG,7,9/1/2022
42,Stephen Nogosek,NYM,7,9/1/2022
43,Sheldon Neuse,OAK,7,9/1/2022
44,Matt Foster,CHW,7,9/1/2022
45,Wyatt Mills,KCR,7,9/1/2022
46,Rico Garcia,BAL,7,9/1/2022
47,Luis Castillo,DET,7,9/1/2022
48,Seth Martinez,HOU,7,9/1/2022
49,Jake Cousins,MIL,7,9/1/2022
50,Nick Maton,PHI,7,9/1/2022
51,Yerry Rodriguez,TEX,7,9/1/2022
52,Easton McGee,TBR,7,9/1/2022
53,Angel De Jesus,DET,7,9/1/2022
54,Beau Sulser,BAL,7,9/1/2022
55,Nick Mears,PIT,7,9/1/2022
56,Nash Walters,LAA,7,9/1/2022
57,Ryan Pepiot,LAD,7,9/1/2022
58,Robert Suarez,SDP,7,9/1/2022
59,Cristian Javier,HOU,7,9/1/2022
60,Eli Morgan,CLE,7,9/1/2022
61,Zack Wheeler,PHI,7,9/1/2022
62,Adam Cimber,TOR,7,9/1/2022
63,Dylan Lee,ATL,7,9/1/2022
64,Jose Cisnero,DET,7,9/1/2022
65,Cionel Perez,BAL,7,9/1/2022
66,Andres Munoz,SEA,7,9/1/2022
67,Liam Hendriks,CHW,7,9/1/2022
68,Hunter Greene,CIN,7,9/1/2022
69,Evan Phillips,LAD,7,9/1/2022
70,Jose Quintana,STL,7,9/1/2022
71,Alex Vesia,LAD,7,9/1/2022
72,Josh Hader,SDP,7,9/1/2022
73,Ryne Stanek,HOU,7,9/1/2022
74,Alek Manoah,TOR,7,9/1/2022
75,Hunter Brown,HOU,7,9/1/2022
76,Nathan Eovaldi,BOS,7,9/1/2022
77,Edwin Diaz,NYM,7,9/1/2022
78,Aaron Bummer,CHW,7,9/1/2022
79,Tommy Kahnle,LAD,7,9/1/2022
80,Luis Ortiz,SFG,7,9/1/2022
81,Bryan Baker,BAL,7,9/1/2022
82,Justin Verlander,HOU,7,9/1/2022
83,Zach Eflin,PHI,7,9/1/2022
84,Dylan Floro,MIA,7,9/1/2022
85,Shohei Ohtani,LAA,7,9/1/2022
86,Jesus Tinoco,TEX,7,9/1/2022
87,Kevin Ginkel,ARI,7,9/1/2022
88,A.J. Minter,ATL,7,9/1/2022
89,Fernando Cruz,CIN,7,9/1/2022
90,Camilo Doval,SFG,7,9/1/2022
91,Scott Alexander,SFG,7,9/1/2022
92,Nestor Cortes,NYY,7,9/1/2022
93,Rafael Montero,HOU,7,9/1/2022
94,Tyler Glasnow,TBR,7,9/1/2022
95,Matthew Boyd,SEA,7,9/1/2022
96,Chris Martin,LAD,7,9/1/2022
97,Taylor Widener,ARI,7,9/1/2022
98,Bryan Abreu,HOU,7,9/1/2022
99,Zach Pop,TOR,7,9/1/2022
100,Ryne Nelson,ARI,7,9/1/2022
101,Drey Jameson,ARI,7,9/1/2022
102,Tanner Banks,CHW,7,9/1/2022
103,Carl Edwards Jr.,WSN,7,9/1/2022
104,Alex Lange,DET,7,9/1/2022
105,Julio Urias,LAD,7,9/1/2022
106,Clayton Kershaw,LAD,7,9/1/2022
107,Jose Leclerc,TEX,7,9/1/2022
108,Andrew Bellatti,PHI,7,9/1/2022
109,Jeffrey Springs,TBR,7,9/1/2022
110,Adrian Sampson,CHC,7,9/1/2022
111,Jhoan Duran,MIN,7,9/1/2022
112,Luis Severino,NYY,7,9/1/2022
113,Steven Matz,STL,7,9/1/2022
114,Keegan Thompson,CHC,7,9/1/2022
115,Ty Blach,COL,7,9/1/2022
116,Logan Gillaspie,BAL,7,9/1/2022
117,Zack Thompson,STL,7,9/1/2022
118,Jimmy Herget,LAA,7,9/1/2022
119,Jonathan Loaisiga,NYY,7,9/1/2022
120,Joey Wentz,DET,7,9/1/2022
121,Chris Stratton,STL,7,9/1/2022
122,Bryce Elder,ATL,7,9/1/2022
123,Garrett Cleavinger,TBR,7,9/1/2022
124,James Kaprielian,OAK,7,9/1/2022
125,David Bednar,PIT,7,9/1/2022
126,Spencer Strider,ATL,7,9/1/2022
127,Drew Smith,NYM,7,9/1/2022
128,Reynaldo Lopez,CHW,7,9/1/2022
129,Yu Darvish,SDP,7,9/1/2022
130,Luis Garcia,HOU,7,9/1/2022
131,Thomas Szapucki,SFG,7,9/1/2022
132,Andre Jackson,LAD,7,9/1/2022
133,Zack Greinke,KCR,7,9/1/2022
134,Matt Moore,TEX,7,9/1/2022
135,Chi Chi Gonzalez,NYY,7,9/1/2022
136,Zach Plesac,CLE,7,9/1/2022
137,Alex Young,SFG,7,9/1/2022
138,Dylan Cease,CHW,7,9/1/2022
139,Chris Flexen,SEA,7,9/1/2022
140,Jordan Romano,TOR,7,9/1/2022
141,Max Fried,ATL,7,9/1/2022
142,Logan Gilbert,SEA,7,9/1/2022
143,Emmanuel Clase,CLE,7,9/1/2022
144,Bailey Ober,MIN,7,9/1/2022
145,Carlos Rodon,SFG,7,9/1/2022
146,Gregory Soto,DET,7,9/1/2022
147,Anthony Bass,TOR,7,9/1/2022
148,Collin McHugh,ATL,7,9/1/2022
149,Tyler Anderson,LAD,7,9/1/2022
150,Blake Snell,SDP,7,9/1/2022
151,Mitch Keller,PIT,7,9/1/2022
152,Rowan Wick,CHC,7,9/1/2022
153,Adam Ottavino,NYM,7,9/1/2022
154,Tyler Cyr,OAK,7,9/1/2022
155,Triston McKenzie,CLE,7,9/1/2022
156,Trevor May,NYM,7,9/1/2022
157,Hayden Wesneski,CHC,7,9/1/2022
158,Marcus Stroman,CHC,7,9/1/2022
159,Michael Rucker,CHC,7,9/1/2022
160,John Schreiber,BOS,7,9/1/2022
161,Alexis Diaz,CIN,7,9/1/2022
162,Joe Ryan,MIN,7,9/1/2022
163,Steve Cishek,WSN,7,9/1/2022
164,Kolby Allard,TEX,7,9/1/2022
165,Emilio Pagan,MIN,7,9/1/2022
166,Ryan Brasier,BOS,7,9/1/2022
167,Joely Rodriguez,NYM,7,9/1/2022
168,Caleb Thielbar,MIN,7,9/1/2022
169,Packy Naughton,STL,7,9/1/2022
170,Cody Morris,CLE,7,9/1/2022
171,Peter Strzelecki,MIL,7,9/1/2022
172,Ryan Yarbrough,TBR,7,9/1/2022
173,Ronny Henriquez,MIN,7,9/1/2022
174,Hunter Harvey,WSN,7,9/1/2022
175,Kirk McCarty,CLE,7,9/1/2022
176,Kenley Jansen,ATL,7,9/1/2022
177,Aaron Nola,PHI,7,9/1/2022
178,Michael Lorenzen,LAA,7,9/1/2022
179,Patrick Sandoval,LAA,7,9/1/2022
180,Miles Mikolas,STL,7,9/1/2022
181,Max Scherzer,NYM,7,9/1/2022
182,Ryan Helsley,STL,7,9/1/2022
183,David Phelps,TOR,7,9/1/2022
184,Jake Woodford,STL,7,9/1/2022
185,Lance Lynn,CHW,7,9/1/2022
186,Brandon Woodruff,MIL,7,9/1/2022
187,Shane Bieber,CLE,7,9/1/2022
188,Ryan Tepera,LAA,7,9/1/2022
189,Miguel Diaz,DET,7,9/1/2022
190,Tommy Hunter,NYM,7,9/1/2022
191,Nick Lodolo,CIN,7,9/1/2022
192,Erasmo Ramirez,WSN,7,9/1/2022
193,Jovani Moran,MIN,7,9/1/2022
194,Craig Kimbrel,LAD,7,9/1/2022
195,Ryan Pressly,HOU,7,9/1/2022
196,Devin Williams,MIL,7,9/1/2022
197,Lou Trivino,NYY,7,9/1/2022
198,Joe Musgrove,SDP,7,9/1/2022
199,Lance McCullers Jr.,HOU,7,9/1/2022
200,Andrew Chafin,DET,7,9/1/2022
201,Jose Cuas,KCR,7,9/1/2022
202,Zac Gallen,ARI,7,9/1/2022
203,Brayan Bello,BOS,7,9/1/2022
204,Lucas Luetge,NYY,7,9/1/2022
205,Phil Maton,HOU,7,9/1/2022
206,John King,TEX,7,9/1/2022
