Name,Team,MonthSeason,MonthYear,New team
Calvin Faucher,TBR,7,9/1/2022,No
Cam Alldred,PIT,3,5/1/2022,No
Cam Vieaux,PIT,6,8/1/2022,No
Camilo Doval,SFG,7,9/1/2022,No
Carl Edwards Jr.,WSN,7,9/1/2022,No
Carlos Carrasco,NYM,7,9/1/2022,No
Carlos Estevez,COL,7,9/1/2022,No
Carlos Hernandez,KCR,7,9/1/2022,No
Carlos Rodon,SFG,7,9/1/2022,No
Carson Kelly,ARI,7,9/1/2022,No
Casey Lawrence,TOR,7,9/1/2022,No
Casey Mize,DET,2,4/1/2022,No
Cesar Valdez,LAA,3,5/1/2022,No
Chad Green,NYY,3,5/1/2022,No
Chad Kuhl,COL,7,9/1/2022,No
Chad Pinder,OAK,3,5/1/2022,No
Chad Smith,COL,7,9/1/2022,No
Charlie Culberson,TEX,7,9/1/2022,No
Charlie Morton,ATL,7,9/1/2022,No
Chase Anderson,CIN,7,9/1/2022,No
Chase De Jong,PIT,7,9/1/2022,No
Chase Silseth,LAA,5,7/1/2022,No
Chasen Shreve,NYM,5,7/1/2022,No
Chris Archer,MIN,7,9/1/2022,No
Chris Bassitt,NYM,7,9/1/2022,No
Chris Ellis,BAL,2,4/1/2022,No
Chris Flexen,SEA,7,9/1/2022,No
Chris Mazza,TBR,2,4/1/2022,No
Chris Owings,BAL,3,5/1/2022,No
Chris Paddack,MIN,3,5/1/2022,No
Chris Sale,BOS,5,7/1/2022,No
Cionel Perez,BAL,7,9/1/2022,No
Clarke Schmidt,NYY,7,9/1/2022,No
Clay Holmes,NYY,7,9/1/2022,No
Clayton Kershaw,LAD,7,9/1/2022,No
Cody Morris,CLE,7,9/1/2022,No
Cody Poteet,MIA,5,7/1/2022,No
Cody Sedlock,BAL,3,5/1/2022,No
Cody Stashak,MIN,3,5/1/2022,No
Cole Irvin,OAK,7,9/1/2022,No
Cole Ragans,TEX,7,9/1/2022,No
Cole Sands,MIN,7,9/1/2022,No
Cole Sulser,MIA,7,9/1/2022,No
Cole Waites,SFG,7,9/1/2022,No
Colin Poche,TBR,7,9/1/2022,No
Collin McHugh,ATL,7,9/1/2022,No
Collin Snider,KCR,7,9/1/2022,No
Collin Wiles,OAK,7,9/1/2022,No
Conner Menez,CHC,3,5/1/2022,No
Connor Brogdon,PHI,7,9/1/2022,No
Connor Overton,CIN,7,9/1/2022,No
Connor Sadzeck,MIL,5,7/1/2022,No
Connor Seabold,BOS,7,9/1/2022,No
Cooper Criswell,TBR,7,9/1/2022,No
Corbin Burnes,MIL,7,9/1/2022,No
Corbin Martin,ARI,5,7/1/2022,No
Corey Dickerson,STL,7,9/1/2022,No
Corey Kluber,TBR,7,9/1/2022,No
Corey Knebel,PHI,6,8/1/2022,No
Cory Abbott,WSN,7,9/1/2022,No
Craig Kimbrel,LAD,7,9/1/2022,No
Craig Stammen,SDP,7,9/1/2022,No
Cristian Javier,HOU,7,9/1/2022,No
Cristofer Ogando,TBR,7,9/1/2022,No
Cristopher Sanchez,PHI,7,9/1/2022,No
Dakota Hudson,STL,7,9/1/2022,No
Damon Jones,PHI,2,4/1/2022,No
Dane Dunning,TEX,7,9/1/2022,No
Daniel Bard,COL,7,9/1/2022,No
Daniel Castano,MIA,5,7/1/2022,No
Daniel Duarte,CIN,2,4/1/2022,No
Daniel Hudson,LAD,4,6/1/2022,No
Daniel Lynch,KCR,7,9/1/2022,No
Daniel Mengden,KCR,7,9/1/2022,No
Danny Coulombe,MIN,3,5/1/2022,No
Dany Jimenez,OAK,6,8/1/2022,No
Darick Hall,PHI,6,8/1/2022,No
Darin Ruf,NYM,6,8/1/2022,No
Darren O'Day,ATL,5,7/1/2022,No
Darwinzon Hernandez,BOS,6,8/1/2022,No
Daulton Jefferies,OAK,3,5/1/2022,No
Dauri Moreta,CIN,7,9/1/2022,No
David Bednar,PIT,7,9/1/2022,No
David Peterson,NYM,7,9/1/2022,No
David Phelps,TOR,7,9/1/2022,No
David Price,LAD,7,9/1/2022,No
Davis Martin,CHW,7,9/1/2022,No
Dean Kremer,BAL,7,9/1/2022,No
Dee Strange-Gordon,WSN,2,4/1/2022,No
Dennis Santana,TEX,7,9/1/2022,No
Denyi Reyes,BAL,4,6/1/2022,No
Dereck Rodriguez,MIN,7,9/1/2022,No
Devin Smeltzer,MIN,6,8/1/2022,No
Devin Williams,MIL,7,9/1/2022,No
Dillon Peters,PIT,6,8/1/2022,No
Dillon Tate,BAL,7,9/1/2022,No
DL Hall,BAL,7,9/1/2022,No
Domingo Acevedo,OAK,7,9/1/2022,No
Domingo German,NYY,7,9/1/2022,No
Domingo Tapia,OAK,7,9/1/2022,No
Dominic Leone,SFG,7,9/1/2022,No
Donovan Walton,SFG,4,6/1/2022,No
Drew Carlton,DET,5,7/1/2022,No
Drew Hutchison,DET,7,9/1/2022,No
Drew Rasmussen,TBR,7,9/1/2022,No
Drew Smith,NYM,7,9/1/2022,No
Drew Smyly,CHC,7,9/1/2022,No
Drew Steckenrider,SEA,3,5/1/2022,No
Drew VerHagen,STL,5,7/1/2022,No
Drey Jameson,ARI,7,9/1/2022,No
Duane Underwood Jr.,PIT,7,9/1/2022,No
Dusten Knight,TBR,7,9/1/2022,No
Dustin May,LAD,7,9/1/2022,No
Dylan Bundy,MIN,7,9/1/2022,No
Dylan Cease,CHW,7,9/1/2022,No
Dylan Coleman,KCR,7,9/1/2022,No
Dylan Floro,MIA,7,9/1/2022,No
Dylan Lee,ATL,7,9/1/2022,No
Easton McGee,TBR,7,9/1/2022,No
Eduard Bazardo,BOS,7,9/1/2022,No
Eduardo Rodriguez,DET,7,9/1/2022,No
Edward Cabrera,MIA,7,9/1/2022,No
Edwin Diaz,NYM,7,9/1/2022,No
Edwin Uceta,ARI,6,8/1/2022,No
Ehire Adrianza,WSN,4,6/1/2022,No
Eli Morgan,CLE,7,9/1/2022,No
Elieser Hernandez,MIA,7,9/1/2022,No
Elvin Rodriguez,DET,7,9/1/2022,No
Elvis Peguero,LAA,5,7/1/2022,No
Emilio Pagan,MIN,7,9/1/2022,No
Emmanuel Clase,CLE,7,9/1/2022,No
Enoli Paredes,HOU,5,7/1/2022,No
Enyel De Los Santos,CLE,7,9/1/2022,No
Erasmo Ramirez,WSN,7,9/1/2022,No
Eric Lauer,MIL,7,9/1/2022,No
Erich Uelmen,CHC,7,9/1/2022,No
Erick Fedde,WSN,7,9/1/2022,No
Erik Swanson,SEA,7,9/1/2022,No
Ernie Clement,CLE,5,7/1/2022,No
Ethan Roberts,CHC,2,4/1/2022,No
Ethan Small,MIL,5,7/1/2022,No
Evan Lee,WSN,4,6/1/2022,No
Evan Phillips,LAD,7,9/1/2022,No
Felix Bautista,BAL,7,9/1/2022,No
Fernando Cruz,CIN,7,9/1/2022,No
Framber Valdez,HOU,7,9/1/2022,No
Francisco Morales,PHI,6,8/1/2022,No
Francisco Perez,WSN,4,6/1/2022,No
Frank German,BOS,7,9/1/2022,No
Frank Schwindel,CHC,4,6/1/2022,No
Franmil Reyes,CHC,6,8/1/2022,No
Freddy Peralta,MIL,7,9/1/2022,No
Freddy Tarnok,ATL,6,8/1/2022,No
Gabe Speier,KCR,4,6/1/2022,No
Garrett Hill,DET,7,9/1/2022,No
Garrett Richards,TEX,6,8/1/2022,No
Garrett Stubbs,PHI,7,9/1/2022,No
Garrett Whitlock,BOS,7,9/1/2022,No
Gavin Hollowell,COL,7,9/1/2022,No
Genesis Cabrera,STL,6,8/1/2022,No
George Kirby,SEA,7,9/1/2022,No
Gerardo Reyes,LAA,6,8/1/2022,No
German Marquez,COL,7,9/1/2022,No
Gerrit Cole,NYY,7,9/1/2022,No
Giovanny Gallegos,STL,7,9/1/2022,No
Glenn Otto,TEX,7,9/1/2022,No
Graham Ashcraft,CIN,7,9/1/2022,No
Greg Holland,TEX,2,4/1/2022,No
Greg Weissert,NYY,7,9/1/2022,No
Gregory Santos,SFG,5,7/1/2022,No
Gregory Soto,DET,7,9/1/2022,No
Griffin Jax,MIN,7,9/1/2022,No
Hansel Robles,BOS,5,7/1/2022,No
Hanser Alberto,LAD,7,9/1/2022,No
Harold Castro,DET,5,7/1/2022,No
Hayden Wesneski,CHC,7,9/1/2022,No
Hector Neris,HOU,7,9/1/2022,No
Hirokazu Sawamura,BOS,6,8/1/2022,No
Hoby Milner,MIL,7,9/1/2022,No
Huascar Brazoban,MIA,7,9/1/2022,No
Huascar Ynoa,ATL,2,4/1/2022,No
Humberto Castellanos,ARI,3,5/1/2022,No
Hunter Brown,HOU,7,9/1/2022,No
Hunter Dozier,KCR,6,8/1/2022,No
Hunter Gaddis,CLE,7,9/1/2022,No
Hunter Greene,CIN,7,9/1/2022,No
Hunter Harvey,WSN,7,9/1/2022,No
Hunter Strickland,CIN,7,9/1/2022,No
Hyun-Jin Ryu,TOR,4,6/1/2022,No
Ian Anderson,ATL,6,8/1/2022,No
Ian Hamilton,MIN,4,6/1/2022,No
Ian Kennedy,ARI,7,9/1/2022,No
Ildemaro Vargas,WSN,7,9/1/2022,No
J.B. Wendelken,ARI,5,7/1/2022,No
J.P. Feyereisen,TBR,4,6/1/2022,No
Jace Peterson,MIL,7,9/1/2022,No
Jack Flaherty,STL,7,9/1/2022,No
Jack Mayfield,LAA,4,6/1/2022,No
Jackie Bradley Jr.,BOS,5,7/1/2022,No
Jackson Kowar,KCR,5,7/1/2022,No
Jackson Stephens,ATL,7,9/1/2022,No
Jackson Tetreault,WSN,5,7/1/2022,No
Jacob deGrom,NYM,7,9/1/2022,No
Jaime Barria,LAA,7,9/1/2022,No
Jake Bird,COL,7,9/1/2022,No
Jake Brentz,KCR,2,4/1/2022,No
Jake Cousins,MIL,7,9/1/2022,No
Jake Fishman,MIA,7,9/1/2022,No
Jake Hager,ARI,4,6/1/2022,No
Jake Lemoine,OAK,3,5/1/2022,No
Jake Walsh,STL,3,5/1/2022,No
Jake Woodford,STL,7,9/1/2022,No
Jakob Junis,SFG,7,9/1/2022,No
Jalen Beeks,TBR,7,9/1/2022,No
James Kaprielian,OAK,7,9/1/2022,No
James Karinchak,CLE,7,9/1/2022,No
James Naile,STL,7,9/1/2022,No
James Norwood,PHI,4,6/1/2022,No
Jameson Taillon,NYY,7,9/1/2022,No
Jandel Gustave,MIL,5,7/1/2022,No
Janson Junk,LAA,6,8/1/2022,No
Jared Koenig,OAK,7,9/1/2022,No
Jared Solomon,CIN,5,7/1/2022,No
Jarlin Garcia,SFG,7,9/1/2022,No
Jason Adam,TBR,7,9/1/2022,No
Jason Alexander,MIL,7,9/1/2022,No
Jason Foley,DET,7,9/1/2022,No
Javier Assad,CHC,7,9/1/2022,No
Jay Jackson,ATL,6,8/1/2022,No
JC Mejia,MIL,3,5/1/2022,No
Jeff Brigham,MIA,7,9/1/2022,No
Jeff Hoffman,CIN,5,7/1/2022,No
Jeffrey Springs,TBR,7,9/1/2022,No
Jerad Eickhoff,PIT,4,6/1/2022,No
Jeremiah Estrada,CHC,7,9/1/2022,No
Jeremy Beasley,TOR,5,7/1/2022,No
Jermaine Palacios,MIN,7,9/1/2022,No
Jesus Cruz,ATL,4,6/1/2022,No
Jesus Luzardo,MIA,7,9/1/2022,No
Jesus Tinoco,TEX,7,9/1/2022,No
Jhoan Duran,MIN,7,9/1/2022,No
Jhon Romero,MIN,2,4/1/2022,No
Jhonathan Diaz,LAA,4,6/1/2022,No
Jhoulys Chacin,COL,7,9/1/2022,No
Jimmy Herget,LAA,7,9/1/2022,No
Jimmy Lambert,CHW,7,9/1/2022,No
Joan Adon,WSN,5,7/1/2022,No
Joe Barlow,TEX,7,9/1/2022,No
Joe Jimenez,DET,7,9/1/2022,No
Joe Kelly,CHW,7,9/1/2022,No
Joe Mantiply,ARI,7,9/1/2022,No
Joe Musgrove,SDP,7,9/1/2022,No
Joe Ryan,MIN,7,9/1/2022,No
Joe Smith,MIN,6,8/1/2022,No
Joel Kuhnel,CIN,7,9/1/2022,No
Joely Rodriguez,NYM,7,9/1/2022,No
Joey Krehbiel,BAL,7,9/1/2022,No
Joey Wentz,DET,7,9/1/2022,No
John Brebbia,SFG,7,9/1/2022,No
John King,TEX,7,9/1/2022,No
John Means,BAL,2,4/1/2022,No
John Schreiber,BOS,7,9/1/2022,No
Johnny Cueto,CHW,7,9/1/2022,No
Jon Gray,TEX,7,9/1/2022,No
Jon Heasley,KCR,7,9/1/2022,No
Jonathan Hernandez,TEX,7,9/1/2022,No
Jonathan Loaisiga,NYY,7,9/1/2022,No
Jordan Hicks,STL,7,9/1/2022,No
Jordan Holloway,MIA,5,7/1/2022,No
Jordan Lyles,BAL,7,9/1/2022,No
Jordan Romano,TOR,7,9/1/2022,No
Jordan Sheffield,COL,6,8/1/2022,No
Jordan Weems,WSN,7,9/1/2022,No
Jorge Alcala,MIN,2,4/1/2022,No
Jose Alvarado,PHI,7,9/1/2022,No
Jose Alvarez,SFG,4,6/1/2022,No
Jose Berrios,TOR,7,9/1/2022,No
Jose Butto,NYM,6,8/1/2022,No
Jose Castillo,SDP,6,8/1/2022,No
Jose Cisnero,DET,7,9/1/2022,No
Jose Cuas,KCR,7,9/1/2022,No
Jose Leclerc,TEX,7,9/1/2022,No
Jose Marte,LAA,7,9/1/2022,No
Jose Quijada,LAA,7,9/1/2022,No
Jose Ruiz,CHW,7,9/1/2022,No
Jose Suarez,LAA,7,9/1/2022,No
Jose Urquidy,HOU,7,9/1/2022,No
Josh Fleming,TBR,7,9/1/2022,No
Josh Harrison,CHW,6,8/1/2022,No
Josh Rogers,WSN,4,6/1/2022,No
Josh Sborz,TEX,6,8/1/2022,No
Josh Staumont,KCR,6,8/1/2022,No
Josh VanMeter,PIT,5,7/1/2022,No
Josh Winckowski,BOS,7,9/1/2022,No
Josh Winder,MIN,7,9/1/2022,No
Josiah Gray,WSN,7,9/1/2022,No
Jovani Moran,MIN,7,9/1/2022,No
JT Brubaker,PIT,7,9/1/2022,No
JT Chargois,TBR,7,9/1/2022,No
Juan Minaya,MIN,5,7/1/2022,No
Julian Merryweather,TOR,7,9/1/2022,No
Julio Urias,LAD,7,9/1/2022,No
Justin Bruihl,LAD,7,9/1/2022,No
Justin Dunn,CIN,7,9/1/2022,No
Justin Grimm,OAK,3,5/1/2022,No
Justin Lawrence,COL,7,9/1/2022,No
Justin Steele,CHC,6,8/1/2022,No
Justin Topa,MIL,7,9/1/2022,No
Justin Verlander,HOU,7,9/1/2022,No
Justin Wilson,CIN,2,4/1/2022,No
Justus Sheffield,SEA,7,9/1/2022,No
Kaleb Ort,BOS,7,9/1/2022,No
Keegan Akin,BAL,7,9/1/2022,No
Keegan Thompson,CHC,7,9/1/2022,No
Ken Giles,SEA,5,7/1/2022,No
Ken Waldichuk,OAK,7,9/1/2022,No
Kendall Graveman,CHW,7,9/1/2022,No
Kenley Jansen,ATL,7,9/1/2022,No
Kenny Rosenberg,LAA,4,6/1/2022,No
Kevin Gausman,TOR,7,9/1/2022,No
Kevin Ginkel,ARI,7,9/1/2022,No
Kevin Herget,TBR,7,9/1/2022,No
Kevin Plawecki,BOS,3,5/1/2022,No
Keynan Middleton,ARI,7,9/1/2022,No
Kirby Snead,OAK,7,9/1/2022,No
Kirby Yates,ATL,7,9/1/2022,No
Kirk McCarty,CLE,7,9/1/2022,No
Kodi Whitley,STL,4,6/1/2022,No
Kody Clemens,DET,7,9/1/2022,No
Kohei Arihara,TEX,7,9/1/2022,No
Kolby Allard,TEX,7,9/1/2022,No
Konnor Pilkington,CLE,7,9/1/2022,No
Kris Bubic,KCR,7,9/1/2022,No
Kutter Crawford,BOS,6,8/1/2022,No
Kyle Barraclough,LAA,3,5/1/2022,No
Kyle Bradish,BAL,7,9/1/2022,No
Kyle Crick,CHW,4,6/1/2022,No
Kyle Dowdy,CIN,7,9/1/2022,No
Kyle Finnegan,WSN,7,9/1/2022,No
Kyle Freeland,COL,7,9/1/2022,No
Kyle Gibson,PHI,7,9/1/2022,No
Kyle Hendricks,CHC,5,7/1/2022,No
Kyle Muller,ATL,7,9/1/2022,No
Kyle Nelson,ARI,7,9/1/2022,No
Kyle Tyler,SDP,4,6/1/2022,No
Kyle Wright,ATL,7,9/1/2022,No
Lance Lynn,CHW,7,9/1/2022,No
Lance McCullers Jr.,HOU,7,9/1/2022,No
Liam Hendriks,CHW,7,9/1/2022,No
Locke St. John,CHC,2,4/1/2022,No
Logan Gilbert,SEA,7,9/1/2022,No
Logan Gillaspie,BAL,7,9/1/2022,No
Logan Webb,SFG,7,9/1/2022,No
Louie Varland,MIN,7,9/1/2022,No
Lucas Gilbreath,COL,6,8/1/2022,No
Lucas Giolito,CHW,7,9/1/2022,No
Lucas Luetge,NYY,7,9/1/2022,No
Lucas Sims,CIN,3,5/1/2022,No
Luis Cessa,CIN,7,9/1/2022,No
Luis Frias,ARI,7,9/1/2022,No
Luis Gil,NYY,3,5/1/2022,No
Luis Gonzalez,SFG,7,9/1/2022,No
Luis Patino,TBR,7,9/1/2022,No
Luis Perdomo,MIL,7,9/1/2022,No
Luis Severino,NYY,7,9/1/2022,No
Luis Torrens,SEA,7,9/1/2022,No
Luke Barker,MIL,4,6/1/2022,No
MacKenzie Gore,SDP,5,7/1/2022,No
Madison Bumgarner,ARI,7,9/1/2022,No
Manuel Rodriguez,CHC,7,9/1/2022,No
Marco Gonzales,SEA,7,9/1/2022,No
Marcos Diplan,BAL,3,5/1/2022,No
Marcus Stroman,CHC,7,9/1/2022,No
Mark Appel,PHI,6,8/1/2022,No
Mark Leiter,CHC,7,9/1/2022,No
Mark Melancon,ARI,7,9/1/2022,No
Martin Perez,TEX,7,9/1/2022,No
