#,Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,Year,YearDate
87,Chris Sale,BOS,36.3%,65.8%,48.5%,66.9%,78.5%,73.4%,41.3%,67.8%,12.9%,17.7%,30.6%,2021.0,2021-01-01
88,Andrew Chafin,- - -,36.3%,70.0%,49.8%,61.7%,87.6%,76.3%,40.1%,62.4%,11.8%,16.4%,28.2%,2021.0,2021-01-01
89,Connor Overton,- - -,36.3%,71.9%,51.1%,62.1%,86.6%,76.4%,41.6%,66.7%,12.0%,15.0%,27.0%,2021.0,2021-01-01
90,Reiver Sanmartin,CIN,36.1%,58.9%,45.3%,61.5%,88.4%,75.6%,40.3%,55.3%,11.0%,19.3%,30.4%,2021.0,2021-01-01
91,Michael Wacha,TBR,36.1%,74.8%,53.5%,65.8%,86.3%,78.7%,44.9%,68.8%,11.4%,13.9%,25.3%,2021.0,2021-01-01
92,Clayton Kershaw,LAD,36.0%,69.4%,50.4%,46.3%,80.8%,66.8%,43.2%,62.5%,16.7%,16.0%,32.7%,2021.0,2021-01-01
93,Stephen Nogosek,NYM,36.0%,65.2%,50.0%,66.7%,73.3%,70.8%,47.9%,91.7%,14.6%,22.9%,37.5%,2021.0,2021-01-01
94,Cody Ponce,PIT,36.0%,66.3%,49.2%,65.5%,87.8%,78.6%,43.4%,59.8%,10.5%,17.8%,28.4%,2021.0,2021-01-01
95,Chris Mazza,TBR,36.0%,70.2%,50.1%,52.9%,88.3%,73.4%,41.4%,58.9%,13.3%,14.5%,27.8%,2021.0,2021-01-01
96,Nick Anderson,TBR,35.9%,81.6%,52.9%,82.6%,83.9%,83.3%,37.3%,45.8%,8.8%,10.8%,19.6%,2021.0,2021-01-01
97,Frankie Montas,OAK,35.9%,70.9%,50.2%,58.4%,83.1%,72.7%,40.9%,65.2%,13.7%,15.5%,29.2%,2021.0,2021-01-01
98,Julio Urias,LAD,35.9%,67.3%,50.8%,66.0%,84.9%,77.9%,47.4%,70.7%,11.2%,18.6%,29.8%,2021.0,2021-01-01
99,Diego Castillo,- - -,35.9%,67.0%,48.1%,49.5%,85.8%,69.3%,39.2%,57.1%,14.7%,17.3%,32.1%,2021.0,2021-01-01
100,Blake Treinen,LAD,35.8%,66.7%,48.3%,58.5%,84.7%,73.2%,40.4%,65.7%,13.0%,16.0%,28.9%,2021.0,2021-01-01
101,Codi Heuer,- - -,35.8%,73.2%,51.5%,55.0%,86.0%,73.5%,41.9%,60.1%,13.6%,13.5%,27.2%,2021.0,2021-01-01
102,Dillon Peters,PIT,35.8%,71.1%,51.5%,71.6%,80.7%,77.2%,44.5%,74.4%,11.7%,15.6%,27.3%,2021.0,2021-01-01
103,Josh Hader,MIL,35.8%,73.6%,51.0%,43.2%,69.8%,58.7%,40.2%,60.3%,21.1%,14.6%,35.7%,2021.0,2021-01-01
104,Keynan Middleton,SEA,35.8%,77.2%,53.6%,64.8%,78.4%,73.2%,43.0%,61.4%,14.3%,11.5%,25.8%,2021.0,2021-01-01
105,Andrew Heaney,- - -,35.7%,68.0%,48.5%,65.8%,81.1%,74.3%,39.6%,67.0%,12.5%,16.0%,28.5%,2021.0,2021-01-01
106,Alex Lange,DET,35.7%,69.5%,48.2%,50.7%,85.4%,69.2%,36.9%,63.0%,14.9%,14.2%,29.1%,2021.0,2021-01-01
107,Shane Bieber,CLE,35.7%,64.3%,47.7%,43.7%,83.4%,66.1%,42.0%,62.5%,16.2%,17.4%,33.5%,2021.0,2021-01-01
108,Anthony Misiewicz,SEA,35.7%,72.5%,51.9%,61.5%,84.2%,75.4%,44.0%,66.9%,12.8%,14.2%,27.0%,2021.0,2021-01-01
109,Matthew Boyd,DET,35.7%,68.9%,50.7%,72.3%,83.6%,79.3%,45.2%,71.8%,10.5%,16.7%,27.3%,2021.0,2021-01-01
110,Luke Maile,MIL,35.7%,100.0%,55.0%,80.0%,83.3%,81.8%,30.0%,80.0%,10.0%,10.0%,20.0%,2021.0,2021-01-01
111,Lucas Luetge,NYY,35.7%,75.3%,50.4%,61.2%,83.9%,73.8%,37.2%,58.1%,13.2%,11.9%,25.1%,2021.0,2021-01-01
112,Scott Barlow,KCR,35.7%,62.7%,45.8%,46.9%,83.6%,65.7%,37.4%,61.8%,15.7%,17.3%,33.0%,2021.0,2021-01-01
113,Ryan Yarbrough,TBR,35.7%,67.7%,48.6%,74.4%,85.8%,80.8%,40.2%,64.8%,9.3%,17.8%,27.2%,2021.0,2021-01-01
114,Tyler Alexander,DET,35.7%,69.2%,49.9%,77.1%,89.0%,84.1%,42.6%,65.6%,7.9%,17.0%,24.9%,2021.0,2021-01-01
115,Kyle Hendricks,CHC,35.6%,66.8%,48.5%,73.5%,87.9%,81.6%,41.3%,67.8%,8.9%,18.6%,27.5%,2021.0,2021-01-01
116,Ramon Rosso,PHI,35.6%,66.2%,50.7%,65.4%,91.5%,82.2%,49.3%,77.1%,9.0%,16.7%,25.7%,2021.0,2021-01-01
117,Rafael Montero,- - -,35.6%,71.2%,50.2%,69.9%,84.7%,78.5%,41.1%,64.0%,10.8%,14.1%,24.9%,2021.0,2021-01-01
118,Gabe Klobosits,WSN,35.6%,77.6%,52.1%,73.8%,86.4%,81.2%,39.2%,65.4%,9.8%,12.4%,22.2%,2021.0,2021-01-01
119,Kevin Gausman,SFG,35.6%,72.3%,52.1%,53.2%,81.2%,70.7%,45.0%,63.5%,15.3%,15.7%,31.0%,2021.0,2021-01-01
120,Jake McGee,SFG,35.5%,77.9%,57.4%,68.9%,87.8%,82.1%,51.6%,66.1%,10.3%,15.1%,25.4%,2021.0,2021-01-01
121,Tony Watson,- - -,35.5%,65.8%,47.7%,66.3%,83.0%,75.5%,40.2%,60.0%,11.7%,15.6%,27.3%,2021.0,2021-01-01
122,Jake Jewell,CHC,35.5%,70.3%,50.2%,63.6%,79.7%,73.1%,42.3%,66.7%,13.5%,14.4%,27.9%,2021.0,2021-01-01
123,Cole Sulser,BAL,35.4%,71.0%,50.5%,60.3%,79.4%,71.7%,42.2%,59.5%,14.3%,14.5%,28.8%,2021.0,2021-01-01
124,Jordan Montgomery,NYY,35.4%,71.2%,50.2%,60.7%,81.2%,72.7%,41.2%,66.9%,13.7%,14.7%,28.4%,2021.0,2021-01-01
125,Bailey Ober,MIN,35.4%,70.1%,50.3%,63.2%,86.9%,77.4%,42.8%,67.3%,11.4%,16.8%,28.2%,2021.0,2021-01-01
126,Gerrit Cole,NYY,35.4%,67.6%,48.9%,57.4%,79.6%,70.3%,41.9%,66.8%,14.5%,17.6%,32.1%,2021.0,2021-01-01
127,Edwin Diaz,NYM,35.3%,70.7%,49.8%,49.5%,80.0%,67.3%,41.0%,59.1%,16.3%,14.5%,30.8%,2021.0,2021-01-01
128,John Schreiber,BOS,35.3%,59.1%,44.6%,66.7%,84.6%,76.0%,39.3%,61.5%,10.7%,17.9%,28.6%,2021.0,2021-01-01
129,Aaron Slegers,LAA,35.3%,67.7%,47.9%,63.9%,86.6%,76.4%,38.9%,63.1%,11.2%,15.4%,26.7%,2021.0,2021-01-01
130,Zack Wheeler,PHI,35.2%,72.0%,51.4%,64.8%,82.9%,76.0%,43.9%,66.8%,12.4%,15.6%,28.0%,2021.0,2021-01-01
131,Max Kranick,PIT,35.2%,78.2%,52.5%,67.6%,80.2%,75.1%,40.2%,56.6%,13.1%,11.1%,24.2%,2021.0,2021-01-01
132,J.P. Feyereisen,- - -,35.2%,73.9%,48.4%,60.3%,76.3%,68.6%,34.1%,63.2%,15.2%,12.5%,27.7%,2021.0,2021-01-01
133,Packy Naughton,LAA,35.2%,69.2%,47.0%,71.6%,85.9%,78.9%,34.7%,63.9%,9.9%,14.1%,24.0%,2021.0,2021-01-01
134,Kenta Maeda,MIN,35.2%,72.0%,49.3%,57.7%,84.1%,72.5%,38.4%,59.6%,13.6%,14.7%,28.3%,2021.0,2021-01-01
135,Matt Barnes,BOS,35.2%,64.4%,47.1%,50.3%,83.1%,68.6%,40.9%,68.5%,14.8%,18.8%,33.6%,2021.0,2021-01-01
136,Conner Greene,- - -,35.2%,71.2%,50.6%,54.4%,84.6%,72.6%,42.7%,66.1%,13.9%,14.5%,28.4%,2021.0,2021-01-01
137,Jovani Moran,MIN,35.1%,80.4%,49.4%,48.7%,82.9%,66.3%,31.5%,63.2%,16.7%,9.3%,25.9%,2021.0,2021-01-01
138,Bryse Wilson,- - -,35.1%,70.5%,50.5%,74.7%,87.7%,82.6%,43.6%,61.5%,8.8%,15.3%,24.1%,2021.0,2021-01-01
139,Hyun-Jin Ryu,TOR,35.1%,64.7%,47.3%,71.9%,85.5%,79.5%,41.1%,63.9%,9.7%,18.8%,28.5%,2021.0,2021-01-01
140,Danny Coulombe,MIN,35.1%,74.9%,52.2%,60.4%,88.8%,77.9%,42.9%,60.4%,11.5%,13.6%,25.1%,2021.0,2021-01-01
141,Hector Santiago,SEA,35.1%,71.9%,50.3%,64.4%,82.9%,75.3%,41.3%,65.0%,12.4%,14.9%,27.3%,2021.0,2021-01-01
142,Josiah Gray,- - -,35.1%,71.5%,48.9%,55.7%,83.0%,70.8%,37.9%,63.5%,14.3%,14.3%,28.5%,2021.0,2021-01-01
143,Jacob Barnes,- - -,35.0%,68.8%,46.8%,62.3%,83.9%,73.4%,34.9%,60.9%,12.5%,14.4%,26.8%,2021.0,2021-01-01
144,Chad Green,NYY,35.0%,73.9%,52.6%,59.8%,76.5%,70.4%,45.3%,64.1%,15.5%,14.4%,30.0%,2021.0,2021-01-01
145,Will Harris,WSN,35.0%,72.7%,50.4%,60.7%,87.5%,76.5%,40.7%,60.0%,11.9%,11.9%,23.7%,2021.0,2021-01-01
146,Jesus Tinoco,COL,35.0%,75.0%,50.0%,71.4%,88.9%,81.3%,37.5%,60.0%,9.4%,12.5%,21.9%,2021.0,2021-01-01
147,Brooks Kriske,- - -,35.0%,73.0%,49.5%,64.3%,83.3%,75.0%,38.1%,60.7%,12.4%,11.9%,24.2%,2021.0,2021-01-01
148,Angel Rondon,STL,35.0%,77.8%,48.3%,85.7%,100.0%,92.9%,31.0%,42.9%,3.4%,13.8%,17.2%,2021.0,2021-01-01
149,Victor Gonzalez,LAD,35.0%,59.3%,44.3%,56.7%,90.6%,74.1%,38.4%,66.5%,11.5%,17.1%,28.5%,2021.0,2021-01-01
150,Devin Williams,MIL,34.9%,65.1%,46.2%,47.9%,70.7%,59.9%,37.5%,58.8%,18.5%,16.3%,34.8%,2021.0,2021-01-01
151,Zach Pop,MIA,34.9%,63.9%,45.7%,64.9%,86.1%,75.9%,37.3%,51.6%,11.0%,15.2%,26.2%,2021.0,2021-01-01
152,Anthony Gose,CLE,34.9%,78.8%,54.8%,63.6%,75.6%,71.4%,45.2%,54.2%,15.7%,12.2%,27.8%,2021.0,2021-01-01
153,Luis Severino,NYY,34.8%,65.6%,44.9%,60.9%,81.0%,70.5%,32.7%,63.6%,13.3%,15.3%,28.6%,2021.0,2021-01-01
154,Miguel Aguilar,ARI,34.8%,76.3%,50.0%,78.3%,93.1%,86.5%,36.5%,51.7%,6.7%,14.4%,21.2%,2021.0,2021-01-01
155,Will Smith,ATL,34.8%,67.3%,47.4%,53.7%,83.2%,69.9%,38.6%,63.3%,14.3%,17.1%,31.4%,2021.0,2021-01-01
156,Brandon Woodruff,MIL,34.8%,69.6%,50.7%,64.1%,80.8%,74.6%,45.6%,66.0%,12.9%,17.2%,30.0%,2021.0,2021-01-01
157,Cole Irvin,OAK,34.8%,73.0%,51.6%,76.6%,86.3%,82.7%,44.1%,65.2%,8.9%,15.8%,24.8%,2021.0,2021-01-01
158,Blaine Hardy,MIL,34.8%,62.5%,41.9%,100.0%,80.0%,92.3%,25.8%,42.9%,3.2%,9.7%,12.9%,2021.0,2021-01-01
159,Danny Duffy,KCR,34.8%,66.8%,48.5%,57.7%,81.6%,71.8%,42.7%,57.5%,13.7%,14.9%,28.5%,2021.0,2021-01-01
160,Wade Miley,CIN,34.8%,69.1%,46.8%,72.3%,84.3%,78.5%,35.2%,57.8%,10.1%,15.3%,25.4%,2021.0,2021-01-01
161,Logan Webb,SFG,34.7%,62.5%,46.4%,54.0%,88.0%,73.2%,42.0%,66.6%,12.4%,18.5%,30.9%,2021.0,2021-01-01
162,Michael Rucker,CHC,34.7%,72.4%,49.8%,54.9%,83.1%,71.3%,40.0%,61.9%,14.3%,13.7%,28.0%,2021.0,2021-01-01
163,Shane McClanahan,TBR,34.7%,68.7%,49.9%,48.7%,83.9%,70.4%,44.8%,64.2%,14.8%,16.7%,31.5%,2021.0,2021-01-01
164,Ryan Tepera,- - -,34.7%,72.3%,48.7%,46.6%,82.4%,66.5%,37.3%,63.8%,16.4%,14.3%,30.7%,2021.0,2021-01-01
165,Cristopher Sanchez,PHI,34.7%,67.4%,48.1%,65.1%,84.5%,76.2%,41.0%,59.3%,11.4%,15.6%,27.0%,2021.0,2021-01-01
166,Adbert Alzolay,CHC,34.7%,66.8%,48.8%,62.9%,84.1%,75.7%,43.9%,63.6%,11.9%,16.7%,28.6%,2021.0,2021-01-01
167,Michael Fulmer,DET,34.6%,70.9%,48.9%,58.5%,83.7%,72.9%,39.5%,57.9%,13.3%,14.4%,27.6%,2021.0,2021-01-01
168,Kenley Jansen,LAD,34.6%,68.3%,49.7%,56.1%,77.7%,69.4%,44.7%,61.9%,15.2%,16.4%,31.7%,2021.0,2021-01-01
169,Alex Cobb,LAA,34.6%,61.8%,44.5%,65.2%,84.2%,74.8%,36.3%,61.3%,11.2%,18.8%,30.0%,2021.0,2021-01-01
