#,Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,MonthSeason,MonthYear
27,Jonathan Loaisiga,NYY,42.3%,73.9%,52.4%,73.2%,88.2%,80.0%,32.2%,71.8%,10.5%,13.3%,23.8%,2.0,2022-04-01
28,Alex Vesia,LAD,42.0%,60.6%,49.4%,57.1%,95.0%,75.6%,39.8%,57.1%,12.0%,16.9%,28.9%,2.0,2022-04-01
29,Wil Myers,SDP,41.7%,80.0%,59.1%,100.0%,87.5%,92.3%,45.5%,20.0%,4.5%,13.6%,18.2%,2.0,2022-04-01
30,James Norwood,PHI,41.7%,84.2%,58.2%,76.0%,93.8%,86.0%,38.8%,60.9%,8.2%,8.2%,16.3%,2.0,2022-04-01
31,Erik Swanson,SEA,41.7%,72.9%,55.8%,71.4%,68.6%,69.8%,45.5%,62.9%,16.9%,14.9%,31.8%,2.0,2022-04-01
32,Tyler Matzek,ATL,41.5%,61.7%,50.0%,70.4%,79.3%,75.0%,42.0%,69.0%,12.5%,20.5%,33.0%,2.0,2022-04-01
33,Scott Effross,CHC,41.5%,59.6%,48.5%,70.6%,93.5%,81.5%,38.8%,64.9%,9.0%,18.7%,27.6%,2.0,2022-04-01
34,Tanner Rainey,WSN,41.1%,82.5%,58.3%,52.2%,75.8%,66.1%,41.7%,56.5%,19.8%,7.3%,27.1%,2.0,2022-04-01
35,Tyler Rogers,SFG,41.0%,56.9%,48.2%,68.0%,86.2%,77.8%,45.5%,79.4%,10.7%,25.0%,35.7%,2.0,2022-04-01
36,Brett Martin,TEX,41.0%,71.4%,52.3%,55.9%,88.6%,72.5%,37.1%,64.9%,14.4%,15.2%,29.5%,2.0,2022-04-01
37,Tyler Gilbert,ARI,40.8%,66.0%,50.4%,80.6%,77.4%,79.0%,38.2%,67.6%,10.6%,17.1%,27.6%,2.0,2022-04-01
38,Sergio Romo,SEA,40.7%,53.3%,45.2%,81.8%,75.0%,78.9%,35.7%,62.5%,9.5%,21.4%,31.0%,2.0,2022-04-01
39,Victor Arano,WSN,40.7%,57.6%,46.5%,45.7%,82.4%,61.3%,34.3%,66.7%,18.0%,14.0%,32.0%,2.0,2022-04-01
40,Dylan Cease,CHW,40.7%,71.5%,51.8%,63.8%,76.3%,70.1%,36.0%,56.5%,15.5%,13.6%,29.1%,2.0,2022-04-01
41,Anthony Banda,PIT,40.6%,64.3%,51.7%,46.2%,83.3%,67.7%,46.7%,47.1%,16.7%,18.3%,35.0%,2.0,2022-04-01
42,Jon Gray,TEX,40.6%,56.9%,46.3%,69.2%,86.2%,76.5%,34.7%,66.7%,10.9%,15.6%,26.5%,2.0,2022-04-01
43,Reyes Moronta,LAD,40.5%,81.0%,55.2%,66.7%,76.5%,71.9%,36.2%,75.0%,15.5%,13.8%,29.3%,2.0,2022-04-01
44,A.J. Minter,ATL,40.4%,75.0%,51.7%,57.5%,83.3%,69.7%,32.7%,82.4%,15.6%,14.3%,29.9%,2.0,2022-04-01
45,Dillon Peters,PIT,40.4%,66.2%,50.3%,73.8%,81.4%,77.6%,38.5%,48.8%,11.2%,14.7%,25.9%,2.0,2022-04-01
46,Drew Steckenrider,SEA,40.3%,71.4%,55.1%,77.4%,78.0%,77.8%,47.6%,62.9%,12.2%,10.9%,23.1%,2.0,2022-04-01
47,J.P. Feyereisen,TBR,40.2%,66.7%,51.1%,51.5%,73.7%,63.4%,41.0%,61.8%,18.7%,14.4%,33.1%,2.0,2022-04-01
48,Andrew Bellatti,PHI,40.0%,68.8%,50.6%,63.6%,95.5%,79.5%,36.8%,70.0%,10.3%,18.4%,28.7%,2.0,2022-04-01
49,Clay Holmes,NYY,40.0%,71.4%,55.2%,53.3%,86.0%,73.8%,48.3%,71.4%,14.5%,15.9%,30.3%,2.0,2022-04-01
50,Daniel Castano,MIA,40.0%,72.7%,55.3%,70.0%,87.5%,80.8%,46.8%,30.0%,10.6%,10.6%,21.3%,2.0,2022-04-01
51,Matt Peacock,ARI,40.0%,50.0%,44.4%,80.0%,90.0%,85.0%,44.4%,61.5%,6.7%,24.4%,31.1%,2.0,2022-04-01
52,Ray Kerr,SDP,40.0%,80.0%,60.0%,0.0%,100.0%,66.7%,50.0%,100.0%,20.0%,10.0%,30.0%,2.0,2022-04-01
53,Andres Munoz,SEA,39.8%,73.2%,49.6%,46.2%,70.0%,56.5%,29.5%,59.3%,21.6%,13.7%,35.3%,2.0,2022-04-01
54,Nick Lodolo,CIN,39.7%,60.8%,48.4%,67.2%,85.5%,76.7%,41.1%,71.0%,11.3%,17.7%,29.0%,2.0,2022-04-01
55,Trevor Gott,MIL,39.7%,59.1%,47.7%,60.0%,76.9%,68.6%,41.1%,74.2%,15.0%,20.6%,35.5%,2.0,2022-04-01
56,Kenley Jansen,ATL,39.4%,68.7%,53.6%,71.4%,82.6%,78.4%,48.6%,65.6%,11.6%,18.8%,30.4%,2.0,2022-04-01
57,Sam Hentges,CLE,39.4%,64.2%,50.4%,50.0%,85.3%,70.0%,44.5%,68.8%,15.1%,18.5%,33.6%,2.0,2022-04-01
58,Felix Bautista,BAL,39.3%,67.2%,50.3%,65.7%,79.5%,73.0%,39.5%,63.9%,13.6%,14.3%,27.9%,2.0,2022-04-01
59,Collin McHugh,ATL,39.2%,61.7%,47.5%,55.0%,89.2%,71.4%,37.0%,63.9%,13.6%,16.0%,29.6%,2.0,2022-04-01
60,Jhon Romero,MIN,39.2%,66.7%,51.1%,70.0%,84.6%,78.3%,43.3%,75.0%,11.1%,16.7%,27.8%,2.0,2022-04-01
61,Joe Musgrove,SDP,39.2%,60.8%,48.8%,62.2%,83.9%,74.3%,44.7%,68.4%,12.5%,21.9%,34.4%,2.0,2022-04-01
62,Andrew Vasquez,TOR,39.1%,27.3%,35.3%,55.6%,100.0%,66.7%,32.4%,77.8%,11.8%,38.2%,50.0%,2.0,2022-04-01
63,Jason Foley,DET,39.1%,70.0%,53.5%,83.3%,92.9%,89.1%,46.5%,54.2%,5.8%,15.1%,20.9%,2.0,2022-04-01
64,Trevor Stephan,CLE,39.1%,78.3%,57.4%,59.3%,78.7%,71.6%,46.5%,64.7%,16.3%,13.2%,29.5%,2.0,2022-04-01
65,Anthony Bass,MIA,39.0%,63.3%,49.3%,56.3%,86.8%,72.9%,42.3%,59.0%,13.4%,17.6%,31.0%,2.0,2022-04-01
66,Zack Littell,SFG,39.0%,75.0%,55.8%,68.8%,81.5%,76.7%,46.8%,65.0%,13.0%,18.2%,31.2%,2.0,2022-04-01
67,Adam Cimber,TOR,39.0%,72.3%,56.5%,78.3%,87.2%,84.3%,52.4%,65.8%,8.9%,20.2%,29.0%,2.0,2022-04-01
68,Joe Smith,MIN,38.9%,70.5%,53.1%,66.7%,93.5%,82.7%,44.9%,66.7%,9.2%,16.3%,25.5%,2.0,2022-04-01
69,Michael Pineda,DET,38.8%,77.6%,56.8%,73.1%,88.9%,83.1%,46.4%,59.0%,9.6%,12.8%,22.4%,2.0,2022-04-01
70,Pablo Lopez,MIA,38.8%,59.1%,47.4%,64.1%,76.1%,70.5%,42.6%,68.2%,14.0%,19.7%,33.7%,2.0,2022-04-01
71,Walker Buehler,LAD,38.6%,73.4%,52.3%,67.1%,84.8%,76.8%,39.4%,67.7%,12.1%,15.4%,27.5%,2.0,2022-04-01
72,Roansy Contreras,PIT,38.6%,67.4%,48.8%,53.1%,77.4%,65.1%,35.7%,48.4%,17.1%,17.8%,34.9%,2.0,2022-04-01
73,Tanner Banks,CHW,38.3%,66.7%,51.0%,80.5%,89.7%,85.9%,44.8%,62.2%,7.2%,17.5%,24.7%,2.0,2022-04-01
74,Frankie Montas,OAK,38.3%,73.9%,50.9%,60.2%,85.7%,73.3%,35.3%,63.2%,13.6%,14.5%,28.1%,2.0,2022-04-01
75,Josh Fleming,TBR,38.1%,69.2%,50.4%,62.3%,88.9%,76.7%,39.6%,57.6%,11.7%,15.2%,27.0%,2.0,2022-04-01
76,Evan Phillips,LAD,38.1%,47.2%,42.2%,54.2%,84.0%,69.4%,45.7%,63.6%,12.9%,24.1%,37.1%,2.0,2022-04-01
77,Julian Merryweather,TOR,38.0%,81.5%,58.8%,37.0%,86.8%,70.0%,47.8%,69.2%,17.6%,14.0%,31.6%,2.0,2022-04-01
78,Drew VerHagen,STL,37.9%,69.7%,48.5%,56.0%,87.0%,70.8%,33.3%,65.2%,14.1%,16.2%,30.3%,2.0,2022-04-01
79,Griffin Jax,MIN,37.9%,66.7%,47.4%,51.3%,85.3%,67.1%,33.1%,68.4%,15.6%,17.5%,33.1%,2.0,2022-04-01
80,Tyler Anderson,LAD,37.8%,69.3%,51.5%,57.1%,88.6%,75.6%,43.5%,54.3%,12.5%,15.6%,28.1%,2.0,2022-04-01
81,Nathan Eovaldi,BOS,37.8%,76.1%,55.4%,61.1%,85.6%,76.5%,45.8%,65.8%,13.0%,15.5%,28.5%,2.0,2022-04-01
82,Bailey Ober,MIN,37.7%,77.8%,54.5%,63.6%,81.6%,74.4%,41.9%,67.5%,14.0%,11.6%,25.6%,2.0,2022-04-01
83,Shawn Armstrong,MIA,37.5%,79.1%,52.0%,53.3%,94.1%,75.0%,35.0%,52.9%,13.0%,8.1%,21.1%,2.0,2022-04-01
84,Paul Sewald,SEA,37.5%,58.6%,47.5%,58.3%,76.5%,69.0%,47.5%,73.3%,14.8%,21.3%,36.1%,2.0,2022-04-01
85,Joe Mantiply,ARI,37.5%,56.9%,46.7%,76.2%,89.7%,84.0%,47.7%,76.7%,7.5%,23.4%,30.8%,2.0,2022-04-01
86,Hunter Harvey,WSN,37.5%,50.0%,43.2%,44.4%,100.0%,73.7%,45.5%,44.4%,11.4%,15.9%,27.3%,2.0,2022-04-01
87,John Means,BAL,37.5%,78.2%,54.1%,70.0%,86.0%,79.5%,40.7%,52.9%,11.1%,11.1%,22.2%,2.0,2022-04-01
88,Collin Snider,KCR,37.5%,65.4%,48.5%,53.3%,82.4%,68.8%,39.4%,50.0%,15.2%,12.9%,28.0%,2.0,2022-04-01
89,Jakob Junis,SFG,37.3%,67.2%,51.2%,44.0%,87.2%,70.3%,46.4%,80.0%,15.2%,18.4%,33.6%,2.0,2022-04-01
90,Matt Manning,DET,37.3%,65.5%,51.9%,68.4%,91.7%,83.6%,51.9%,69.0%,8.5%,17.0%,25.5%,2.0,2022-04-01
91,Lucas Giolito,CHW,37.2%,61.6%,47.5%,39.2%,78.7%,60.7%,41.9%,65.5%,18.6%,16.9%,35.6%,2.0,2022-04-01
92,Kyle Wright,ATL,37.2%,61.4%,47.5%,53.2%,81.9%,69.0%,42.5%,69.6%,14.7%,19.7%,34.4%,2.0,2022-04-01
93,Chad Green,NYY,37.2%,76.8%,55.8%,75.9%,75.5%,75.6%,46.9%,75.6%,13.6%,12.2%,25.9%,2.0,2022-04-01
94,Carlos Rodon,SFG,37.1%,69.4%,50.5%,56.1%,78.0%,68.6%,41.5%,61.4%,15.9%,16.7%,32.5%,2.0,2022-04-01
95,Devin Williams,MIL,37.1%,55.0%,43.2%,37.2%,72.7%,52.6%,34.1%,55.0%,20.5%,19.3%,39.8%,2.0,2022-04-01
96,Justin Grimm,OAK,37.0%,75.9%,50.6%,50.0%,95.5%,73.8%,34.9%,81.8%,13.3%,15.7%,28.9%,2.0,2022-04-01
97,Ryan Brasier,BOS,37.0%,74.1%,53.4%,55.6%,81.4%,71.4%,44.3%,70.0%,15.3%,13.0%,28.2%,2.0,2022-04-01
98,Ronel Blanco,HOU,37.0%,91.5%,58.3%,48.1%,79.1%,67.1%,39.2%,62.5%,19.2%,4.2%,23.3%,2.0,2022-04-01
99,Daniel Lynch,KCR,37.0%,72.8%,52.7%,57.4%,89.2%,76.6%,43.8%,64.7%,12.3%,13.8%,26.2%,2.0,2022-04-01
100,Adam Ottavino,NYM,37.0%,63.5%,47.7%,64.7%,77.5%,71.6%,40.6%,63.2%,13.5%,18.7%,32.3%,2.0,2022-04-01
101,Lucas Luetge,NYY,37.0%,80.5%,50.4%,58.8%,90.9%,74.6%,30.8%,57.6%,12.8%,10.5%,23.3%,2.0,2022-04-01
102,Tyler Danish,BOS,37.0%,58.8%,46.3%,58.8%,90.0%,75.7%,42.5%,33.3%,11.3%,20.0%,31.3%,2.0,2022-04-01
103,Wil Crowe,PIT,37.0%,65.3%,47.0%,64.7%,80.3%,72.4%,35.4%,60.3%,13.0%,15.4%,28.4%,2.0,2022-04-01
104,Alex Lange,DET,37.0%,58.5%,43.6%,41.2%,70.8%,53.4%,30.8%,54.5%,20.3%,15.0%,35.3%,2.0,2022-04-01
105,Jose Alvarado,PHI,36.9%,73.7%,50.5%,50.0%,85.7%,69.2%,36.9%,72.4%,15.5%,13.6%,29.1%,2.0,2022-04-01
106,Hoby Milner,MIL,36.8%,50.0%,40.7%,67.9%,87.5%,75.0%,29.6%,38.5%,10.2%,18.5%,28.7%,2.0,2022-04-01
107,Jhoan Duran,MIN,36.8%,69.7%,53.3%,46.4%,67.9%,60.5%,50.0%,53.7%,21.1%,16.4%,37.5%,2.0,2022-04-01
108,Ryan Thompson,TBR,36.8%,55.0%,43.5%,76.0%,90.9%,83.0%,37.0%,59.3%,7.4%,21.3%,28.7%,2.0,2022-04-01
109,Chris Paddack,MIN,36.8%,66.7%,51.5%,74.4%,80.3%,78.2%,49.4%,61.7%,11.3%,17.7%,29.0%,2.0,2022-04-01
110,Oliver Ortega,LAA,36.7%,69.2%,48.9%,60.0%,93.3%,77.6%,37.4%,56.5%,10.9%,12.1%,23.0%,2.0,2022-04-01
111,Brad Keller,KCR,36.7%,71.6%,50.8%,71.2%,88.5%,81.1%,40.2%,61.1%,9.6%,14.1%,23.7%,2.0,2022-04-01
112,Justin Wilson,CIN,36.7%,58.3%,46.3%,63.6%,57.1%,60.0%,44.4%,61.5%,18.5%,22.2%,40.7%,2.0,2022-04-01
113,Cody Stashak,MIN,36.5%,80.0%,55.4%,57.9%,81.3%,72.5%,43.5%,63.0%,15.2%,17.4%,32.6%,2.0,2022-04-01
114,Andrew Heaney,LAD,36.5%,63.3%,46.8%,34.3%,76.3%,56.2%,38.5%,62.5%,20.5%,17.3%,37.8%,2.0,2022-04-01
115,Max Scherzer,NYM,36.4%,69.5%,49.9%,62.2%,78.5%,71.4%,40.6%,64.9%,14.2%,17.4%,31.7%,2.0,2022-04-01
116,Shane McClanahan,TBR,36.4%,67.1%,49.4%,44.2%,76.7%,62.9%,42.3%,59.8%,18.3%,18.6%,36.9%,2.0,2022-04-01
117,Logan Webb,SFG,36.3%,66.3%,49.0%,69.1%,84.1%,77.7%,42.3%,62.7%,10.9%,17.8%,28.7%,2.0,2022-04-01
118,Jacob Barnes,DET,36.2%,70.7%,49.1%,80.0%,89.7%,85.2%,37.3%,73.3%,7.3%,13.6%,20.9%,2.0,2022-04-01
119,Phillip Diehl,CIN,36.1%,65.4%,48.4%,46.2%,94.1%,73.3%,41.9%,73.3%,12.9%,17.7%,30.6%,2.0,2022-04-01
120,Chris Stratton,PIT,36.0%,70.6%,51.3%,71.0%,79.2%,75.9%,44.2%,63.2%,12.3%,16.9%,29.2%,2.0,2022-04-01
121,Blake Taylor,HOU,36.0%,75.7%,48.0%,74.2%,96.4%,84.7%,30.1%,55.2%,7.3%,12.2%,19.5%,2.0,2022-04-01
122,Clayton Kershaw,LAD,36.0%,62.3%,47.1%,60.3%,83.7%,73.4%,42.2%,65.9%,12.5%,18.7%,31.2%,2.0,2022-04-01
123,Zack Wheeler,PHI,36.0%,63.1%,48.5%,71.2%,91.0%,83.1%,46.2%,70.2%,8.2%,18.0%,26.2%,2.0,2022-04-01
124,Dominic Leone,SFG,35.8%,70.8%,50.4%,62.5%,85.3%,75.9%,41.7%,61.3%,12.2%,15.7%,27.8%,2.0,2022-04-01
125,Jordan Romano,TOR,35.7%,74.6%,53.5%,43.3%,73.6%,62.7%,45.8%,69.8%,20.0%,14.2%,34.2%,2.0,2022-04-01
126,Locke St. John,CHC,35.7%,80.0%,58.6%,40.0%,75.0%,64.7%,51.7%,66.7%,20.7%,13.8%,34.5%,2.0,2022-04-01
127,Taylor Clarke,KCR,35.7%,86.0%,58.3%,56.0%,83.7%,74.3%,44.9%,69.0%,15.0%,11.0%,26.0%,2.0,2022-04-01
128,Garrett Whitlock,BOS,35.7%,64.7%,50.4%,52.5%,77.3%,68.7%,50.9%,67.2%,15.8%,18.9%,34.6%,2.0,2022-04-01
129,Brusdar Graterol,LAD,35.7%,72.4%,52.3%,56.0%,78.6%,70.1%,45.3%,69.7%,15.6%,14.1%,29.7%,2.0,2022-04-01
130,Tony Gonsolin,LAD,35.7%,69.1%,49.7%,52.5%,88.2%,73.3%,41.8%,62.0%,13.3%,13.9%,27.2%,2.0,2022-04-01
131,Alek Manoah,TOR,35.5%,75.2%,52.8%,58.3%,83.9%,74.2%,43.6%,64.9%,13.6%,13.3%,26.9%,2.0,2022-04-01
132,Jose Alvarez,SFG,35.4%,66.7%,46.7%,58.8%,83.3%,71.4%,36.0%,45.0%,13.3%,16.0%,29.3%,2.0,2022-04-01
133,Amir Garrett,KCR,35.4%,66.7%,49.4%,52.9%,80.8%,69.8%,44.8%,57.9%,14.9%,18.4%,33.3%,2.0,2022-04-01
134,Kendall Graveman,CHW,35.4%,64.4%,47.9%,73.5%,87.2%,81.5%,43.2%,65.2%,8.9%,22.5%,31.4%,2.0,2022-04-01
135,Brooks Raley,TBR,35.4%,61.9%,45.8%,52.2%,69.2%,61.2%,39.3%,72.0%,17.8%,15.9%,33.6%,2.0,2022-04-01
136,Scott Barlow,KCR,35.4%,66.2%,49.0%,51.7%,90.7%,75.0%,44.2%,70.3%,12.2%,18.4%,30.6%,2.0,2022-04-01
137,Luis Severino,NYY,35.3%,73.8%,50.8%,63.6%,82.8%,74.8%,40.3%,67.1%,12.8%,15.0%,27.8%,2.0,2022-04-01
138,Shane Bieber,CLE,35.3%,73.7%,49.8%,52.6%,88.6%,72.7%,37.8%,61.4%,13.6%,14.5%,28.1%,2.0,2022-04-01
139,Ryne Stanek,HOU,35.2%,77.8%,51.7%,52.0%,77.1%,66.7%,38.8%,54.8%,17.2%,12.1%,29.3%,2.0,2022-04-01
140,Sean Manaea,SDP,35.2%,71.7%,51.3%,62.5%,86.6%,77.4%,44.2%,69.4%,11.6%,15.4%,27.0%,2.0,2022-04-01
141,Anthony DeSclafani,SFG,35.2%,67.7%,48.9%,68.9%,88.9%,80.6%,42.1%,54.0%,9.5%,16.7%,26.2%,2.0,2022-04-01
142,Jameson Taillon,NYY,35.0%,66.4%,48.4%,71.0%,87.4%,80.5%,42.5%,67.9%,9.4%,18.8%,28.2%,2.0,2022-04-01
143,Jordan Lyles,BAL,35.0%,66.7%,49.2%,65.2%,92.5%,81.7%,44.7%,63.7%,9.0%,16.6%,25.6%,2.0,2022-04-01
144,Tyler Mahle,CIN,35.0%,64.4%,45.5%,65.6%,83.3%,74.6%,35.9%,60.8%,11.6%,17.1%,28.7%,2.0,2022-04-01
145,Corey Kluber,TBR,35.0%,72.4%,48.4%,70.8%,78.6%,75.0%,36.0%,55.4%,12.1%,16.8%,28.9%,2.0,2022-04-01
146,Joe Jimenez,DET,34.9%,67.7%,49.0%,69.0%,76.2%,73.2%,42.8%,69.4%,13.1%,15.2%,28.3%,2.0,2022-04-01
147,Jordan Montgomery,NYY,34.9%,70.0%,49.7%,62.1%,83.3%,74.6%,42.0%,65.9%,12.6%,15.7%,28.3%,2.0,2022-04-01
148,Diego Castillo,SEA,34.9%,73.8%,52.0%,51.7%,85.4%,72.7%,43.9%,59.0%,14.2%,12.2%,26.4%,2.0,2022-04-01
149,Tyler Duffey,MIN,34.9%,69.0%,48.6%,68.2%,93.1%,82.4%,40.0%,57.1%,8.6%,16.2%,24.8%,2.0,2022-04-01
150,Cole Irvin,OAK,34.9%,66.3%,49.2%,72.0%,88.5%,82.1%,45.5%,73.5%,8.8%,17.9%,26.7%,2.0,2022-04-01
151,Kodi Whitley,STL,34.9%,61.7%,48.9%,73.3%,79.3%,77.3%,52.2%,73.9%,11.1%,22.2%,33.3%,2.0,2022-04-01
152,Steven Wilson,SDP,34.9%,63.9%,46.9%,50.0%,71.8%,62.3%,41.5%,69.2%,17.7%,21.8%,39.5%,2.0,2022-04-01
153,Aaron Ashby,MIL,34.9%,54.0%,42.4%,58.8%,88.2%,73.5%,39.3%,63.2%,11.2%,19.9%,31.2%,2.0,2022-04-01
154,Spencer Howard,TEX,34.8%,64.0%,45.3%,58.1%,90.6%,74.6%,36.0%,56.3%,11.5%,20.1%,31.7%,2.0,2022-04-01
155,Caleb Thielbar,MIN,34.8%,76.3%,51.0%,59.4%,82.2%,72.7%,39.1%,62.5%,13.9%,13.2%,27.2%,2.0,2022-04-01
156,Lucas Sims,CIN,34.8%,66.7%,52.0%,75.0%,94.4%,88.5%,54.0%,53.8%,6.0%,20.0%,26.0%,2.0,2022-04-01
157,Bruce Zimmermann,BAL,34.8%,63.4%,47.6%,51.8%,89.2%,74.1%,44.9%,62.5%,12.3%,17.7%,30.0%,2.0,2022-04-01
158,Merrill Kelly,ARI,34.7%,65.3%,46.9%,65.6%,91.0%,79.6%,39.6%,64.9%,9.6%,18.9%,28.4%,2.0,2022-04-01
159,Joely Rodriguez,NYM,34.7%,52.7%,42.5%,64.0%,69.0%,66.7%,43.3%,73.3%,14.2%,23.6%,37.8%,2.0,2022-04-01
160,Brandon Woodruff,MIL,34.7%,73.7%,50.8%,72.0%,77.7%,75.4%,41.3%,72.3%,12.5%,14.1%,26.6%,2.0,2022-04-01
161,Carlos Carrasco,NYM,34.7%,68.7%,50.2%,57.4%,82.2%,72.8%,45.5%,60.0%,13.6%,16.4%,30.0%,2.0,2022-04-01
162,Blake Treinen,LAD,34.6%,73.3%,48.8%,55.6%,81.8%,70.0%,36.6%,60.0%,14.6%,17.1%,31.7%,2.0,2022-04-01
163,Eric Lauer,MIL,34.6%,71.0%,50.5%,65.3%,77.4%,72.7%,43.8%,54.8%,13.8%,16.2%,30.0%,2.0,2022-04-01
164,Kirk McCarty,CLE,34.6%,65.0%,47.8%,66.7%,84.6%,77.3%,43.5%,60.0%,10.9%,17.4%,28.3%,2.0,2022-04-01
165,Jeurys Familia,PHI,34.5%,61.8%,45.3%,48.3%,79.4%,65.1%,39.6%,48.6%,15.8%,15.8%,31.7%,2.0,2022-04-01
166,A.J. Puk,OAK,34.5%,62.5%,45.5%,43.3%,85.7%,66.2%,39.2%,74.3%,15.4%,19.6%,35.0%,2.0,2022-04-01
167,Aaron Fletcher,PIT,34.5%,65.2%,45.1%,50.0%,86.7%,68.3%,34.6%,45.2%,14.3%,18.8%,33.1%,2.0,2022-04-01
168,Justin Verlander,HOU,34.4%,77.9%,53.9%,73.8%,85.0%,81.1%,44.9%,68.1%,10.2%,16.0%,26.2%,2.0,2022-04-01
169,Ian Kennedy,ARI,34.3%,71.9%,49.1%,82.4%,93.5%,88.8%,39.3%,70.5%,5.5%,16.0%,21.5%,2.0,2022-04-01
170,Will Vest,DET,34.3%,65.5%,48.8%,56.5%,73.7%,67.2%,46.4%,58.1%,16.0%,19.2%,35.2%,2.0,2022-04-01
171,Corbin Burnes,MIL,34.3%,66.9%,46.3%,47.1%,73.2%,61.0%,36.9%,53.7%,18.1%,17.0%,35.1%,2.0,2022-04-01
