#,Name,Team,IP,vFA,vFC,vFS,vSI,vCH,vSL,vCU,vCS,vKN,vSB,Year,YearDate
566,Tyler Duffey,MIN,62.1,92.6, , ,92.7, , ,83.1,73.9, , ,2021.0,2021-01-01
567,Brett de Geus,- - -,50.0,92.6,88.5, ,94.0,86.5, ,82.5, , , ,2021.0,2021-01-01
568,Jovani Moran,MIN,8.0,92.6, , , ,82.1,79.2, , , , ,2021.0,2021-01-01
569,Tony Watson,- - -,57.1,92.6, , ,92.0,85.9,83.2, , , , ,2021.0,2021-01-01
570,Sonny Gray,CIN,135.1,92.6,84.0, ,92.7,88.6,82.3,79.8,76.2, , ,2021.0,2021-01-01
571,Matt Moore,PHI,73.0,92.5,89.6, , ,82.6, ,80.8, , , ,2021.0,2021-01-01
572,Eric Lauer,MIL,118.2,92.5,90.1, , ,86.6,87.3,78.9, , , ,2021.0,2021-01-01
573,Brandon Kintzler,PHI,29.2,92.5, , ,92.3,87.0,85.5,79.8, , , ,2021.0,2021-01-01
574,Jake Woodford,STL,67.2,92.5,84.4, ,91.6,85.2,81.9,76.7, , , ,2021.0,2021-01-01
575,Drew Hutchison,DET,21.1,92.5, , ,92.3,85.7,85.1, , , , ,2021.0,2021-01-01
576,Jake Odorizzi,HOU,104.2,92.5,87.4,84.8,92.2, ,83.5,73.6, , , ,2021.0,2021-01-01
577,Ryan Feltner,COL,6.1,92.4, , , ,82.6,81.2,75.3, , , ,2021.0,2021-01-01
578,Patrick Corbin,WSN,171.2,92.4,86.2, ,92.7,81.7,80.8,64.8, , , ,2021.0,2021-01-01
579,Bailey Ober,MIN,92.1,92.4, , , ,84.7,81.5,75.2, , , ,2021.0,2021-01-01
580,Paul Sewald,SEA,64.2,92.4, , , ,69.8,81.8, , , , ,2021.0,2021-01-01
581,John Gant,- - -,110.0,92.4,85.6, ,91.8,80.4,80.3,74.9, , , ,2021.0,2021-01-01
582,Nivaldo Rodriguez,HOU,7.1,92.4, , ,90.4,83.5,87.9,81.3, , , ,2021.0,2021-01-01
583,Chris Archer,TBR,19.1,92.4, , , ,86.0,87.5, , , , ,2021.0,2021-01-01
584,Steven Okert,MIA,36.0,92.4, , ,92.2, ,80.7, , , , ,2021.0,2021-01-01
585,Adrian Sampson,CHC,35.1,92.4, , ,91.8,85.7,84.3, , , , ,2021.0,2021-01-01
586,Jake Faria,ARI,32.2,92.3, ,82.5, , ,84.6,75.9, , , ,2021.0,2021-01-01
587,Andre Jackson,LAD,11.2,92.3, , , ,84.1,86.1,76.3, , , ,2021.0,2021-01-01
588,Peter Solomon,HOU,14.0,92.3,87.1, , ,82.1,84.1,78.6, , , ,2021.0,2021-01-01
589,Framber Valdez,HOU,134.2,92.3, , ,92.6,87.7, ,78.1, , , ,2021.0,2021-01-01
590,Ralph Garza,- - -,30.1,92.3,89.9, ,90.5,84.0,76.8,79.4, , , ,2021.0,2021-01-01
591,Junior Guerra,LAA,65.1,92.3, ,84.2,93.2, ,84.3,81.0, , , ,2021.0,2021-01-01
592,James Hoyt,LAA,8.0,92.3, ,89.3,91.3, ,84.2, , , , ,2021.0,2021-01-01
593,Scott Kazmir,SFG,11.1,92.3,87.6, ,92.1,80.3,82.6, , , , ,2021.0,2021-01-01
594,Zach Thompson,MIA,75.0,92.3,87.2, ,92.2,85.5, ,77.3, , , ,2021.0,2021-01-01
595,Cody Reed,TBR,9.2,92.3, , ,93.2, ,87.8, , , , ,2021.0,2021-01-01
596,Connor Overton,- - -,15.1,92.3,90.0, ,91.1,84.9,82.9,78.6, , , ,2021.0,2021-01-01
597,Travis Bergen,TOR,10.2,92.3, , , , , ,81.8, , , ,2021.0,2021-01-01
598,Deivi Garcia,NYY,8.1,92.3, , , ,82.5,81.8,75.9, , , ,2021.0,2021-01-01
599,Triston McKenzie,CLE,120.0,92.3, , , ,86.5,86.5,79.5, , , ,2021.0,2021-01-01
600,Matt Andriese,- - -,48.1,92.2,86.5, ,89.7,86.2, ,80.3, , , ,2021.0,2021-01-01
601,Humberto Mejia,ARI,22.1,92.2, , ,92.2,85.2,82.8,77.3, , , ,2021.0,2021-01-01
602,Corey Oswalt,NYM,10.1,92.2,86.9, , ,85.5, , , , , ,2021.0,2021-01-01
603,Mark Melancon,SDP,64.2,92.2,92.0,82.7, , , ,82.3, , , ,2021.0,2021-01-01
604,Brady Lail,SEA,2.0,92.2,88.5, , ,87.6, ,82.1, , , ,2021.0,2021-01-01
605,Matthew Boyd,DET,78.2,92.2, , ,90.6,80.0,80.5,73.5, , , ,2021.0,2021-01-01
606,Shea Spitzbarth,PIT,5.0,92.1, , , ,84.9, ,76.5, , , ,2021.0,2021-01-01
607,Kyle Lobstein,WSN,1.1,92.1, , ,91.6,84.9,86.1,80.5, , , ,2021.0,2021-01-01
608,Tim Hill,SDP,59.2,92.1, , ,91.1,85.9,84.8, , , , ,2021.0,2021-01-01
609,Mike Wright Jr.,CHW,18.0,92.1, , ,90.3,77.3,86.3,81.2, , , ,2021.0,2021-01-01
610,Jimmy Herget,- - -,18.2,92.1, , ,90.9,85.9,83.5,73.9, , , ,2021.0,2021-01-01
611,Tanner Anderson,PIT,5.0,92.1,88.1, ,92.3,83.9,83.6, , , , ,2021.0,2021-01-01
612,Drew Smyly,ATL,126.2,92.1,87.6, , , , ,78.9, , , ,2021.0,2021-01-01
613,Chi Chi Gonzalez,COL,101.2,92.0, , ,90.6,84.4,86.4,81.5, , , ,2021.0,2021-01-01
614,Keegan Akin,BAL,95.0,92.0, , , ,81.9,84.2,76.4, , , ,2021.0,2021-01-01
615,Andrew Heaney,- - -,129.2,92.0, , , ,83.8, ,79.4, , , ,2021.0,2021-01-01
616,Austin Pruitt,- - -,7.1,92.0, , , ,85.1,88.1,81.5, , , ,2021.0,2021-01-01
617,Andrew Chafin,- - -,68.2,92.0, , ,92.2,85.5,82.8, , , , ,2021.0,2021-01-01
618,Scott Blewett,KCR,5.0,92.0,90.7, ,91.5,84.1,83.1, , , , ,2021.0,2021-01-01
619,Ross Detwiler,- - -,52.1,92.0,87.7, ,91.2,85.5,85.2,77.4, , , ,2021.0,2021-01-01
620,Matt Shoemaker,MIN,60.1,91.9, ,85.4,91.8, ,82.6,78.7, , , ,2021.0,2021-01-01
621,Bailey Falter,PHI,33.2,91.9, , , ,83.8,84.5,76.1, , , ,2021.0,2021-01-01
622,Johnny Cueto,SFG,114.2,91.9, , ,91.6,82.8,84.4,80.2, , , ,2021.0,2021-01-01
623,Nick Allgeyer,TOR,1.0,91.9, , , ,84.1, ,76.4, , , ,2021.0,2021-01-01
624,Matt Wisler,- - -,48.2,91.9, , , , ,81.9, , , , ,2021.0,2021-01-01
625,Rony Garcia,DET,3.2,91.8, , ,92.6,86.0,81.8,80.9, , , ,2021.0,2021-01-01
626,Ryan Meisinger,CHC,7.1,91.8, , ,91.5,84.6,83.9, , , , ,2021.0,2021-01-01
627,Kolby Allard,TEX,124.2,91.8,86.6, , ,83.9, ,76.2, , , ,2021.0,2021-01-01
628,Trevor Williams,- - -,91.0,91.8,91.9, ,89.6,84.7,83.3,78.0, , , ,2021.0,2021-01-01
629,Austin Gomber,COL,115.1,91.8, , , ,83.3,85.4,75.9, , , ,2021.0,2021-01-01
630,Jay Flaa,- - -,2.2,91.8, ,84.6, , ,82.0,79.4, , , ,2021.0,2021-01-01
631,Kohl Stewart,CHC,13.2,91.8,88.4, ,90.9,86.1,83.4,78.6, , , ,2021.0,2021-01-01
632,Aaron Slegers,LAA,31.0,91.8, , ,91.7,86.8,86.1, , , , ,2021.0,2021-01-01
633,Ross Stripling,TOR,101.1,91.8, , ,89.7,83.1,87.0,77.9, , , ,2021.0,2021-01-01
634,Chase Anderson,PHI,48.0,91.8,86.9, ,91.2,82.1, ,77.2, , , ,2021.0,2021-01-01
635,Stephen Strasburg,WSN,21.2,91.8, , ,91.9,86.6, ,79.4, , , ,2021.0,2021-01-01
636,Merrill Kelly,ARI,158.0,91.7,90.8, ,91.6,87.2,83.9,81.3, , , ,2021.0,2021-01-01
637,Chasen Shreve,PIT,56.1,91.7, ,83.0, , , ,81.5, , , ,2021.0,2021-01-01
638,Pedro Strop,CHC,2.0,91.7,85.9, ,92.4, ,81.2, , , , ,2021.0,2021-01-01
639,Riley O'Brien,CIN,1.1,91.7, , , ,87.9,78.9, , , , ,2021.0,2021-01-01
640,Nick Neidert,MIA,35.2,91.7, , , ,83.3,84.5,74.4, , , ,2021.0,2021-01-01
641,Phil Maton,- - -,66.2,91.7,87.9, , , ,82.4,76.4, , , ,2021.0,2021-01-01
642,Brad Peacock,BOS,5.1,91.7, , ,90.6,82.0,77.6,74.9, , , ,2021.0,2021-01-01
643,Javy Guerra,WSN,6.0,91.7,88.3, ,90.7,82.8,86.3,78.2, , , ,2021.0,2021-01-01
644,Jose Quintana,- - -,63.0,91.6, , ,91.8,86.7, ,78.9, , , ,2021.0,2021-01-01
645,Jace Fry,CHW,6.2,91.6, , ,90.8,86.9,85.1,78.9, , , ,2021.0,2021-01-01
646,Dellin Betances,NYM,1.0,91.6, , , , ,80.6, , , , ,2021.0,2021-01-01
647,Bruce Zimmermann,BAL,64.1,91.6, , , ,84.6,86.2,82.0, , , ,2021.0,2021-01-01
648,Kohei Arihara,TEX,40.2,91.6,87.4,83.3,90.3,82.1,82.1,74.3, , , ,2021.0,2021-01-01
649,Adam Plutko,BAL,56.1,91.6,87.8, , , ,83.3,77.0, , , ,2021.0,2021-01-01
650,Wes Benjamin,TEX,22.2,91.5,85.6, , ,84.3, ,78.6, , , ,2021.0,2021-01-01
651,Chris Devenski,ARI,7.1,91.5, , , ,80.3,79.6,74.4, , , ,2021.0,2021-01-01
652,Josh Fleming,TBR,104.1,91.5,86.6, ,91.5,82.1, ,79.0, , , ,2021.0,2021-01-01
653,Caleb Thielbar,MIN,64.0,91.5, , , ,81.4,80.4,72.0, , , ,2021.0,2021-01-01
654,Aaron Civale,CLE,124.1,91.5,87.8,85.7,91.9, ,83.5,77.1, , , ,2021.0,2021-01-01
655,Alex Young,- - -,52.0,91.5,86.1, ,89.7,85.4, ,82.4, , , ,2021.0,2021-01-01
656,Robert Dugger,SEA,25.2,91.5, , ,91.3,82.8,80.8,74.8, , , ,2021.0,2021-01-01
657,Kyle Freeland,COL,120.2,91.5,86.0, ,91.2,85.6,80.3, , , , ,2021.0,2021-01-01
658,Jose Alvarez,SFG,64.2,91.4,86.5, ,91.3,81.3,81.9, , , , ,2021.0,2021-01-01
659,Miguel Aguilar,ARI,7.0,91.4, , , ,85.9,86.0,80.5, , , ,2021.0,2021-01-01
660,Luke Farrell,MIN,24.2,91.4, , , ,83.5,81.7,76.7, , , ,2021.0,2021-01-01
661,Caleb Smith,ARI,113.2,91.4, , , ,82.1,84.8,77.9, , , ,2021.0,2021-01-01
662,Grant Dayton,ATL,13.0,91.4, , , , , ,77.1, , , ,2021.0,2021-01-01
663,Alec Bettinger,MIL,10.0,91.3,88.2, , ,81.7,83.7,74.7, , , ,2021.0,2021-01-01
664,Joe Mantiply,ARI,39.2,91.3, , ,91.1,83.4,80.8, , , , ,2021.0,2021-01-01
665,Joe Ryan,MIN,26.2,91.3, , , ,83.3,80.9,72.8, , , ,2021.0,2021-01-01
666,Brandon Workman,- - -,28.0,91.3,87.1, , , , ,78.7, , , ,2021.0,2021-01-01
667,Felix Pena,LAA,1.2,91.3, , ,92.4,84.8,84.5, , , , ,2021.0,2021-01-01
668,Stephen Tarpley,NYM,0.0,91.3, , ,91.3, ,80.2, , , , ,2021.0,2021-01-01
669,Kyle McGowin,WSN,30.0,91.3, , ,91.1,83.1,81.2, , , , ,2021.0,2021-01-01
670,Seth Frankoff,ARI,14.2,91.2,87.6, , ,84.3, ,78.2, , , ,2021.0,2021-01-01
671,Demarcus Evans,TEX,26.1,91.2,86.1, , , , ,79.9, , , ,2021.0,2021-01-01
672,J.A. Happ,- - -,152.1,91.2, , ,89.3,86.3,83.3,77.3, , , ,2021.0,2021-01-01
673,Joey Lucchesi,NYM,38.1,91.2, ,81.8,91.1,78.6, , , , , ,2021.0,2021-01-01
674,Julio Teheran,DET,5.0,91.2, , ,90.3,81.2,82.2, , , , ,2021.0,2021-01-01
675,Kyle Tyler,LAA,12.1,91.1, , , ,86.2,84.0,76.5, , , ,2021.0,2021-01-01
676,Dillon Peters,PIT,26.2,91.1, , ,91.1,84.3, ,75.1, , , ,2021.0,2021-01-01
677,Jakob Junis,KCR,39.1,91.1,89.9, ,90.8,84.7,82.8, , , , ,2021.0,2021-01-01
678,Brooks Raley,HOU,49.0,91.1,87.8, ,90.8,85.9,81.9,79.0, , , ,2021.0,2021-01-01
679,Jesse Chavez,ATL,33.2,91.1,89.1, ,91.3,84.7,82.6, , , , ,2021.0,2021-01-01
680,Hector Santiago,SEA,26.1,91.1, , ,88.9,81.6,82.7,77.1, , ,75.5,2021.0,2021-01-01
681,Jon Duplantier,ARI,13.0,91.1, , ,91.0,83.6,84.2,78.9, , , ,2021.0,2021-01-01
682,Mike Minor,KCR,158.2,91.1, , , ,85.3,85.7,80.6, , , ,2021.0,2021-01-01
683,Shawn Morimando,MIA,10.1,91.1,87.1, ,90.8,84.0, ,74.9, , , ,2021.0,2021-01-01
684,Tanner Roark,TOR,7.0,91.1, , ,90.2,81.7,86.4,73.3, , , ,2021.0,2021-01-01
685,Sam Selman,- - -,25.0,91.0, , , , ,80.0, , , , ,2021.0,2021-01-01
686,Scott Effross,CHC,14.2,91.0, , ,90.8,83.1,80.7, , , , ,2021.0,2021-01-01
687,Akeem Bostick,NYM,1.0,91.0, ,85.2, , ,76.5, , , , ,2021.0,2021-01-01
688,Conner Menez,SFG,14.0,91.0, , , ,83.2,82.7,77.9, , , ,2021.0,2021-01-01
689,AJ Ramos,LAA,4.2,91.0,87.0, , ,82.9,79.1,76.9, , , ,2021.0,2021-01-01
690,Kris Bubic,KCR,130.0,91.0, , , ,80.1, ,78.5, , , ,2021.0,2021-01-01
691,Daniel Castano,MIA,20.1,91.0,87.5, ,88.7,81.5,80.7, , , , ,2021.0,2021-01-01
692,Cole Irvin,OAK,178.1,91.0, , ,90.6,84.4,83.1,76.6, , , ,2021.0,2021-01-01
693,Trevor Cahill,PIT,37.0,91.0, , ,90.0,82.7,85.7,79.2, , , ,2021.0,2021-01-01
694,Elieser Hernandez,MIA,51.2,91.0, , ,90.5,84.4,79.4, , , , ,2021.0,2021-01-01
695,Tyler Webb,STL,16.1,91.0, , ,91.1,79.9, ,75.0, , , ,2021.0,2021-01-01
696,Steven Brault,PIT,27.2,91.0, , ,91.0,84.2,82.9,72.4, , , ,2021.0,2021-01-01
697,Stefan Crichton,ARI,23.1,90.9, ,86.6,90.9, , ,77.7, , , ,2021.0,2021-01-01
698,Blake Parker,CLE,43.2,90.9,89.2,79.5, , , ,76.2, , , ,2021.0,2021-01-01
699,Jordan Yamamoto,NYM,6.2,90.9,86.8, ,88.3,84.5,79.4,74.3, , , ,2021.0,2021-01-01
700,Richard Bleier,MIA,58.0,90.9,87.3, ,90.0,83.4,79.0, , , , ,2021.0,2021-01-01
701,Collin McHugh,TBR,64.0,90.9,87.8, , ,85.9,79.7,74.7, , , ,2021.0,2021-01-01
702,Spenser Watkins,BAL,54.2,90.9, , , ,85.6,86.7,79.2, , , ,2021.0,2021-01-01
703,Michael Pineda,MIN,109.1,90.9, , , ,85.7,81.4, , , , ,2021.0,2021-01-01
704,Tyler Anderson,- - -,167.0,90.8,85.2, ,89.2,81.1, ,73.8, , , ,2021.0,2021-01-01
705,Pedro Baez,HOU,4.1,90.8, , , ,83.6,84.2, , , , ,2021.0,2021-01-01
706,Zack Godley,MIL,3.1,90.8,88.4, ,90.7,83.8, ,82.3, , , ,2021.0,2021-01-01
707,Cody Stashak,MIN,15.2,90.8, , , ,86.1,82.7, , , , ,2021.0,2021-01-01
708,Deolis Guerra,OAK,65.2,90.8,84.2, ,90.8,81.7, ,77.1, , , ,2021.0,2021-01-01
709,Thomas Szapucki,NYM,3.2,90.8, , , ,84.8, ,77.5, , , ,2021.0,2021-01-01
710,Kenta Maeda,MIN,106.1,90.8, ,84.4,90.0, ,82.3,75.8, , , ,2021.0,2021-01-01
711,Dylan Bundy,LAA,90.2,90.8, ,83.3,90.7,81.8,79.9,74.0, , , ,2021.0,2021-01-01
712,Paul Blackburn,OAK,38.1,90.8,87.0, ,91.0,85.7, ,79.0, , , ,2021.0,2021-01-01
713,Ryan Castellani,COL,3.1,90.8, , ,90.2,87.4,84.0,78.9, , , ,2021.0,2021-01-01
714,Miguel Yajure,PIT,15.0,90.8,87.4, ,91.0,88.0,79.5,78.4, , , ,2021.0,2021-01-01
715,Jake Arrieta,- - -,98.2,90.8, , ,91.6,86.9,88.5,80.6, , , ,2021.0,2021-01-01
716,Dusten Knight,BAL,8.2,90.8, , , ,79.6,85.6,77.8, , , ,2021.0,2021-01-01
717,Nestor Cortes,NYY,93.0,90.8,85.4, , ,83.0,77.5,74.3, , , ,2021.0,2021-01-01
718,Sean Nolin,WSN,26.2,90.7, , , ,80.0,82.4,73.7, , , ,2021.0,2021-01-01
719,Asher Wojciechowski,NYY,4.0,90.7,86.8, , , ,80.7,80.7, , , ,2021.0,2021-01-01
720,T.J. Zeuch,TOR,15.0,90.7,87.3, ,93.4,81.7,82.9, , , , ,2021.0,2021-01-01
721,Tyler Alexander,DET,106.1,90.7,86.3, ,90.4,83.8,82.4, , , , ,2021.0,2021-01-01
722,Clayton Kershaw,LAD,121.2,90.7, , ,90.8,86.9,87.1,74.3, , , ,2021.0,2021-01-01
723,Zac Rosscup,COL,3.0,90.7, , , , ,85.2,81.0, , , ,2021.0,2021-01-01
724,Zac Lowther,BAL,29.2,90.7, , , ,83.3,81.1,75.3, , , ,2021.0,2021-01-01
725,Connor Seabold,BOS,3.0,90.6, , , ,80.2,81.8,76.9, , , ,2021.0,2021-01-01
726,Eli Morgan,CLE,89.1,90.6,87.6, , ,75.0,85.4,76.5, , , ,2021.0,2021-01-01
727,Nick Tropeano,- - -,8.0,90.6, ,80.0,89.5,80.2,78.3, , , , ,2021.0,2021-01-01
728,Danny Coulombe,MIN,34.1,90.6, , ,90.2, ,84.7,78.5, , , ,2021.0,2021-01-01
729,Josh Rogers,WSN,35.2,90.5, , ,89.3,82.2,82.0, , , , ,2021.0,2021-01-01
730,Braxton Garrett,MIA,34.0,90.5, , ,89.4,84.6,82.8,76.9, , , ,2021.0,2021-01-01
731,Madison Bumgarner,ARI,146.1,90.5,86.1, ,89.8,83.9, ,77.8, , , ,2021.0,2021-01-01
732,Packy Naughton,LAA,22.2,90.5, , ,90.6,81.7,82.9,74.6, , , ,2021.0,2021-01-01
733,Josh Lindblom,MIL,16.2,90.5,86.1,83.8,90.8,84.5,76.2,73.2, , , ,2021.0,2021-01-01
734,Seth Martinez,HOU,3.0,90.4,84.8, ,89.5,84.9,77.8, , , , ,2021.0,2021-01-01
735,Ryan Buchter,ARI,16.1,90.4,86.6, ,91.5, , ,76.1, , , ,2021.0,2021-01-01
736,Humberto Castellanos,ARI,45.2,90.4, , ,90.4,84.0,86.5,76.2, , , ,2021.0,2021-01-01
737,Aaron Sanchez,SFG,35.1,90.4, , ,90.2,83.9, ,74.7, , , ,2021.0,2021-01-01
738,Nick Ramirez,SDP,20.1,90.4,87.5, ,89.7,79.2,84.1,79.0, , , ,2021.0,2021-01-01
739,Konner Wade,BAL,12.1,90.4,87.7, ,89.9,82.5,78.4, , , , ,2021.0,2021-01-01
740,Tyler Ivey,HOU,4.2,90.3, , , ,82.2,80.1,71.8, , , ,2021.0,2021-01-01
741,Corey Kluber,NYY,80.0,90.3,87.8, ,90.9,84.8,82.1, , , , ,2021.0,2021-01-01
742,John King,TEX,46.0,90.3,87.4, ,92.5,78.6,79.8,74.0, , , ,2021.0,2021-01-01
743,Chris Mazza,TBR,27.1,90.3,87.5, ,90.8,83.6,79.7, , , , ,2021.0,2021-01-01
744,Blaine Hardy,MIL,1.0,90.2,85.4, , ,79.4, ,76.9, , , ,2021.0,2021-01-01
745,Charlie Culberson,TEX,2.0,90.2, , , , , , , , , ,2021.0,2021-01-01
746,Hyeon-jong Yang,TEX,35.1,90.1, , , ,81.6,80.7,72.4, , , ,2021.0,2021-01-01
747,Wade Miley,CIN,163.0,90.1,85.6, ,88.8,82.2,79.2,74.9, , , ,2021.0,2021-01-01
748,Nabil Crismatt,SDP,81.1,90.1, , ,89.6,82.3, ,71.5, , , ,2021.0,2021-01-01
749,Jhonathan Diaz,LAA,13.0,90.0, , ,87.0,80.7,79.0,74.5, , , ,2021.0,2021-01-01
750,Jerad Eickhoff,NYM,19.2,90.0, ,82.9,90.3,84.4,82.5,75.0, , , ,2021.0,2021-01-01
751,Nick Margevicius,SEA,12.0,89.9, , , ,81.8,83.9,72.1, , , ,2021.0,2021-01-01
752,Drew Carlton,DET,3.2,89.9, , , ,84.7,79.3, , , , ,2021.0,2021-01-01
753,Charlie Barnes,MIN,38.0,89.9, , , ,79.5,81.9,73.7, , , ,2021.0,2021-01-01
754,Reiver Sanmartin,CIN,11.2,89.9, , ,89.2,84.3,80.4, , , , ,2021.0,2021-01-01
755,Kyle Dohy,PHI,1.0,89.9, , , ,76.4, , , , , ,2021.0,2021-01-01
756,Luis Madero,MIA,12.0,89.9, , , ,84.6,81.1, , , , ,2021.0,2021-01-01
757,Tyler Gilbert,ARI,40.0,89.9,86.5, ,89.7,80.2, ,75.8, , , ,2021.0,2021-01-01
758,Steve Cishek,LAA,68.1,89.8, , ,90.3,82.3,77.5, , , , ,2021.0,2021-01-01
759,Hyun-Jin Ryu,TOR,169.0,89.8,86.2, ,90.4,79.8,79.8,73.8, , , ,2021.0,2021-01-01
760,Daniel Zamora,SEA,4.1,89.7, , , , ,77.3, , , , ,2021.0,2021-01-01
761,Adam Kolarek,OAK,9.0,89.5, , ,89.0,82.4,76.4, , , , ,2021.0,2021-01-01
762,Jordan Zimmermann,MIL,5.2,89.5, , ,88.9,83.9,85.4,80.1, , , ,2021.0,2021-01-01
763,Kwang-hyun Kim,STL,106.2,89.4, , ,87.0,80.6,83.8,69.8, , , ,2021.0,2021-01-01
764,Ryan Hartman,HOU,2.1,89.4, , , ,83.5,81.7,74.9, , , ,2021.0,2021-01-01
765,Adam Wainwright,STL,206.1,89.3,85.2, ,89.4,83.0, ,73.7, , , ,2021.0,2021-01-01
766,Brett Anderson,MIL,96.0,89.3,85.9, ,89.2,82.2,81.9,76.1, , , ,2021.0,2021-01-01
767,Aaron Northcraft,SDP,8.0,89.3, , ,88.0,80.7,80.7, , , , ,2021.0,2021-01-01
768,Oliver Perez,CLE,3.2,89.3, , ,89.5, ,76.2, , , , ,2021.0,2021-01-01
769,Nick Vincent,MIN,12.2,89.3,86.4, ,88.9,83.5,79.5, , , , ,2021.0,2021-01-01
770,Noe Ramirez,- - -,36.0,89.2, , , ,84.1,76.8, , , , ,2021.0,2021-01-01
771,Kyle Ryan,CHC,13.1,89.1,87.3, ,88.3, ,81.6, , , , ,2021.0,2021-01-01
772,Hoby Milner,MIL,21.2,89.1, , ,89.0,81.7, ,79.4, , , ,2021.0,2021-01-01
773,Tyler Clippard,ARI,25.1,89.1, ,81.2,88.7,78.4,83.0,74.5, , , ,2021.0,2021-01-01
774,Dallas Keuchel,CHW,162.0,89.1,85.2, ,87.9,79.7,78.0, , , , ,2021.0,2021-01-01
775,Lewis Thorpe,MIN,15.1,89.1, , , ,82.0,84.1,71.9, , , ,2021.0,2021-01-01
776,Paolo Espino,WSN,109.2,89.1, , , ,83.7,77.7,71.2, , , ,2021.0,2021-01-01
777,Zack Greinke,HOU,171.0,89.0, ,74.7,89.7,86.3,83.7,71.4,61.9, , ,2021.0,2021-01-01
778,Alec Mills,CHC,119.0,89.0, , ,89.3,79.3,76.9,66.1, , , ,2021.0,2021-01-01
779,Jon Lester,- - -,141.1,89.0,86.7, ,87.8,81.6, ,72.9, , , ,2021.0,2021-01-01
780,Josh Tomlin,ATL,49.1,88.9,85.9, , ,84.6, ,76.4, , , ,2021.0,2021-01-01
781,Brody Koerner,NYY,3.0,88.6,87.0, ,89.3,84.3,80.7,74.4, , , ,2021.0,2021-01-01
782,Andrew Albers,MIN,19.0,88.6, , ,88.5,80.3,78.2,69.0, , , ,2021.0,2021-01-01
783,Alexander Wells,BAL,42.2,88.6, , , ,83.3,81.3,72.7, , , ,2021.0,2021-01-01
784,Marco Gonzales,SEA,143.1,88.5,85.7, , ,79.5, ,75.3, , , ,2021.0,2021-01-01
785,Bernardo Flores Jr.,STL,0.0,88.5, , , ,77.8, ,70.8, , , ,2021.0,2021-01-01
786,Preston Guilmet,MIA,2.0,88.5, ,80.7, , ,77.3, , , , ,2021.0,2021-01-01
787,Rich Hill,- - -,158.2,88.4,84.2, ,85.1,80.5,77.6,71.6,66.8, , ,2021.0,2021-01-01
788,Andrew Miller,STL,36.0,88.3, , ,89.1, ,78.5, , , , ,2021.0,2021-01-01
789,Jake Cronenworth,SDP,0.2,88.3, , ,87.9, , , , , , ,2021.0,2021-01-01
790,Ben Rowen,LAA,11.1,88.2, , ,79.8, ,71.6, , , , ,2021.0,2021-01-01
791,Mitch Moreland,OAK,1.0,88.2, , ,86.9,73.6, ,73.2, , , ,2021.0,2021-01-01
792,Kevin Quackenbush,LAD,0.1,88.2, , , , ,81.1,76.7, , , ,2021.0,2021-01-01
793,Alex Blandino,CIN,3.2,88.0, , ,87.6,79.0, , , ,70.8, ,2021.0,2021-01-01
794,Wade LeBlanc,- - -,49.0,87.9,85.2, ,87.8,79.7, ,73.6, , , ,2021.0,2021-01-01
795,Yusmeiro Petit,OAK,78.0,87.8,84.8, , ,81.0, ,75.1, , , ,2021.0,2021-01-01
796,Adam Eaton,LAA,1.0,87.6, , ,86.3, ,79.5,70.1, , , ,2021.0,2021-01-01
797,Joe Smith,- - -,39.2,87.5, , ,85.9,77.5,77.6, , , , ,2021.0,2021-01-01
798,Kyle Hendricks,CHC,181.0,87.5, , ,87.5,80.2, ,73.3, , , ,2021.0,2021-01-01
799,Sergio Alcantara,CHC,0.1,87.5, , , , , , , , , ,2021.0,2021-01-01
800,Darren McCaughan,SEA,9.0,87.5, , ,87.8,80.5,78.5, , , , ,2021.0,2021-01-01
801,Mickey Jannis,BAL,3.1,87.4, , , , , , , ,76.9, ,2021.0,2021-01-01
802,Brent Suter,MIL,73.1,87.3, , ,88.4,83.9,78.6, , , , ,2021.0,2021-01-01
803,Mike Fiers,OAK,9.1,87.3,83.5,81.5,86.9, , ,71.7, , , ,2021.0,2021-01-01
804,Marwin Gonzalez,BOS,1.0,87.2, , , ,46.1,71.9, , , , ,2021.0,2021-01-01
805,Adam Cimber,- - -,71.2,87.1, , ,87.0, ,78.4, , , , ,2021.0,2021-01-01
806,Ryan Yarbrough,TBR,155.0,86.7,82.2, , ,78.7,71.3, , , , ,2021.0,2021-01-01
807,Ryne Harper,WSN,35.2,86.7,76.7, , , ,72.2,68.9, , , ,2021.0,2021-01-01
808,Devin Smeltzer,MIN,4.2,86.5, , , ,80.0,78.9,73.8, , , ,2021.0,2021-01-01
809,Sergio Romo,OAK,61.2,85.9, , ,85.6,80.4,77.1, , , , ,2021.0,2021-01-01
810,Darren O'Day,NYY,10.2,85.7, , ,85.6, ,78.8, , , , ,2021.0,2021-01-01
811,Alex Claudio,LAA,32.2,85.7, , ,85.4,72.6,75.7, , , , ,2021.0,2021-01-01
812,Thomas Eshelman,BAL,27.2,85.6, , ,86.4,81.1,77.6,76.1, , , ,2021.0,2021-01-01
813,Cesar Valdez,BAL,46.0,85.4, , ,85.1,78.0,76.9, , , , ,2021.0,2021-01-01
814,Tommy Milone,TOR,14.0,84.4, , , ,76.6,77.7,73.0, , , ,2021.0,2021-01-01
