#,Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,MonthSeason,MonthYear
20,Dylan Bundy,MIN,.250,1.36,16.1%,48.4%,35.5%,9.1%,9.1%,17,7.17,97,214,311,40.3%,30.6%,29.0%,21.0%,61.3%,17.7%,1,4
21,Corbin Burnes,MIL,.196,1.33,22.2%,44.4%,33.3%,0.0%,16.7%,9,3.16,144,249,393,37.0%,48.1%,14.8%,18.5%,53.7%,27.8%,1,4
22,Tylor Megill,NYM,.222,1.33,22.2%,44.4%,33.3%,16.7%,8.3%,15,4.82,139,272,411,45.9%,32.4%,21.6%,14.9%,59.5%,25.7%,1,4
23,Chad Kuhl,COL,.177,1.32,20.3%,45.3%,34.4%,4.5%,9.1%,15,5.70,121,191,312,46.9%,28.1%,25.0%,12.5%,53.1%,34.4%,1,4
24,Clayton Kershaw,LAD,.240,1.25,13.5%,48.1%,38.5%,20.0%,10.0%,23,9.00,110,217,327,51.9%,23.1%,25.0%,25.0%,50.0%,25.0%,1,4
25,Nathan Eovaldi,BOS,.239,1.21,17.9%,44.9%,37.2%,13.8%,24.1%,15,4.71,127,312,439,32.1%,43.6%,24.4%,15.4%,51.3%,33.3%,1,4
26,Gerrit Cole,NYY,.254,1.19,25.8%,40.3%,33.9%,14.3%,14.3%,20,7.50,148,256,404,37.1%,33.9%,29.0%,14.5%,64.5%,21.0%,1,4
27,Miles Mikolas,STL,.229,1.18,15.3%,45.9%,38.8%,12.1%,6.1%,12,3.64,146,301,447,42.4%,36.5%,21.2%,24.7%,54.1%,21.2%,1,4
28,Yu Darvish,SDP,.264,1.15,24.3%,40.5%,35.1%,3.8%,7.7%,14,4.78,165,268,433,44.6%,29.7%,25.7%,13.5%,68.9%,17.6%,1,4
29,Kevin Gausman,TOR,.391,1.14,28.6%,38.1%,33.3%,4.8%,0.0%,8,2.92,83,256,339,39.1%,37.5%,23.4%,18.8%,51.6%,29.7%,1,4
30,Chris Bassitt,NYM,.232,1.13,14.0%,45.6%,40.4%,17.4%,8.7%,11,4.13,135,247,382,32.8%,36.2%,31.0%,25.9%,44.8%,29.3%,1,4
